row_label_raw,row_label_full,Thuế giá trị gia tăng phải nộp,Số đầu nămVND > -,Số phải nộp/thu trong nămVND > 883.292.078.011,Số đã thực nộp/thu trong nămVND > 883.292.078.011,Số cuối nămVND > -,numeric__Số đầu nămVND > -,numeric__Số phải nộp/thu trong nămVND > 883.292.078.011,numeric__Số đã thực nộp/thu trong nămVND > 883.292.078.011,numeric__Số cuối nămVND > -
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,334.726.553,13.862.653.020,23.114.551.584,(8.917.172.011),334726553.0,13862653020.0,23114551584.0,-8917172011.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,487.893.499,8.995.177.182,8.636.262.543,846.808.138,487893499.0,8995177182.0,8636262543.0,846808138.0
Thuế tài nguyên,Thuế tài nguyên,Thuế tài nguyên,8.439.205.320,111.294.370.980,110.689.590.960,9.043.985.340,8439205320.0,111294370980.0,110689590960.0,9043985340.0
Thuế đất,Thuế đất,Thuế đất,-,16.400.655.895,16.400.655.895,-,,16400655895.0,16400655895.0,
Thuế môn bài,Thuế môn bài,Thuế môn bài,-,3.000.000,3.000.000,-,,3000000.0,3000000.0,
"Phí, lệ phí và các khoản phải nộp khác","Phí, lệ phí và các khoản phải nộp khác","Phí, lệ phí và các khoản phải nộp khác",-,27.503.590.700,27.057.702.800,445.887.900,,27503590700.0,27057702800.0,445887900.0
,,,9.261.825.372,1.061.351.525.788,1.069.193.841.793,1.419.509.367,9261825372.0,1061351525788.0,1069193841793.0,1419509367.0
