row_label_raw,row_label_full,Ông Hoàng Đình Nhật,Trường Ban,numeric__Trường Ban
Ông Hoàng Ngọc Xuân,Ông Hoàng Ngọc Xuân,Ông Hoàng Ngọc Xuân,Thành viên,
Bà Vũ Lan Phương,Bà Vũ Lan Phương,Bà Vũ Lan Phương,Thành viên,
