row_label_raw,row_label_full,col_0,Số đầu năm,Số phải nộp trong năm,Số đã thực nộp trong năm,Số cuối năm,numeric__Số đầu năm,numeric__Số phải nộp trong năm,numeric__Số đã thực nộp trong năm,numeric__Số cuối năm
,,,VND,VND,VND,VND,,,,
a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,,,,
"Thuế xuất, nhập khẩu","a. Các khoản phải thu > Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",-,19.204.425.169,20.498.948.401,1.294.523.232,,19204425169.0,20498948401.0,1294523232.0
Thuế thu nhập doanh nghiệp,a. Các khoản phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,-,-,85.527.253.841,85.527.253.841,,,85527253841.0,85527253841.0
Thuế nhà thầu,a. Các khoản phải thu > Thuế nhà thầu,Thuế nhà thầu,2.284.679.601,27.158.926.780,26.950.782.531,2.076.535.352,2284679601.0,27158926780.0,26950782531.0,2076535352.0
,,,2.284.679.601,46.363.351.949,132.976.984.773,88.898.312.425,2284679601.0,46363351949.0,132976984773.0,88898312425.0
b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,,,,
Thuế giá trị gia tăng,b. Các khoản phải trả > Thuế giá trị gia tăng,Thuế giá trị gia tăng,622.635.865.387,7.484.474.636.110,7.529.260.686.736,577.849.814.761,622635865387.0,7484474636110.0,7529260686736.0,577849814761.0
- Thuế GTGT đầu ra,b. Các khoản phải trả > - Thuế GTGT đầu ra,- Thuế GTGT đầu ra,622.635.865.374,4.508.242.758.466,4.553.028.809.092,577.849.814.748,622635865374.0,4508242758466.0,4553028809092.0,577849814748.0
- Thuế GTGT hàng nhập khẩu,b. Các khoản phải trả > - Thuế GTGT hàng nhập khẩu,- Thuế GTGT hàng nhập khẩu,13,2.976.231.877.644,2.976.231.877.644,13,13.0,2976231877644.0,2976231877644.0,13.0
Thuế tiêu thụ đặc biệt,b. Các khoản phải trả > Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,650.196.874.797,5.058.539.425.471,5.166.588.039.682,542.148.260.586,650196874797.0,5058539425471.0,5166588039682.0,542148260586.0
Thuế thu nhập doanh nghiệp,b. Các khoản phải trả > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,301.163.140.500,132.900.755.987,434.063.896.487,-,301163140500.0,132900755987.0,434063896487.0,
Thuế thu nhập cá nhân,b. Các khoản phải trả > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,9.467.639.034,121.721.414.570,119.661.318.015,11.527.735.589,9467639034.0,121721414570.0,119661318015.0,11527735589.0
Thuế nhà thầu,b. Các khoản phải trả > Thuế nhà thầu,Thuế nhà thầu,-,27.610.554.321,22.134.927.694,5.475.626.627,,27610554321.0,22134927694.0,5475626627.0
"Tiền thuê đất, thuê nhà đất","b. Các khoản phải trả > Tiền thuê đất, thuê nhà đất","Tiền thuê đất, thuê nhà đất",540.371.568,3.756.774.975,4.297.146.543,-,540371568.0,3756774975.0,4297146543.0,
Thuế môn bài,b. Các khoản phải trả > Thuế môn bài,Thuế môn bài,-,5.000.000,5.000.000,-,,5000000.0,5000000.0,
Thuế bảo vệ môi trường,b. Các khoản phải trả > Thuế bảo vệ môi trường,Thuế bảo vệ môi trường,25.652.565.000,128.178.157.000,145.309.201.000,8.521.521.000,25652565000.0,128178157000.0,145309201000.0,8521521000.0
"Các loại thuế, phí và lệ phí khác","b. Các khoản phải trả > Các loại thuế, phí và lệ phí khác","Các loại thuế, phí và lệ phí khác",-,155.979.254,155.979.254,-,,155979254.0,155979254.0,
,,,1.609.656.456.286,12.957.342.697.688,13.421.476.195.411,1.145.522.958.563,1609656456286.0,12957342697688.0,13421476195411.0,1145522958563.0
