row_label_raw,row_label_full,col_0,Nơi thành lập và hoạt động,Tỷ lệ góp vốn,Tỷ lệ quyền biểu quyết nắm giữ,Giá trị đầu tư tại ngày 31/12/2024,Hoạt động chính,numeric__Nơi thành lập và hoạt động,numeric__Tỷ lệ góp vốn,numeric__Tỷ lệ quyền biểu quyết nắm giữ,numeric__Giá trị đầu tư tại ngày 31/12/2024,numeric__Hoạt động chính
,,,Nơi thành lập và hoạt động,Tỷ lệ góp vốn,Tỷ lệ quyền biểu quyết nắm giữ,VND,Hoạt động chính,,,,,
Công ty Cổ phầnBao bì và Thương mại Dầu khí Bình Sơn (trước đây là Công ty Cổ phầnNhà và Thương mại Dầu khí),Công ty Cổ phầnBao bì và Thương mại Dầu khí Bình Sơn (trước đây là Công ty Cổ phầnNhà và Thương mại Dầu khí),Công ty Cổ phầnBao bì và Thương mại Dầu khí Bình Sơn (trước đây là Công ty Cổ phầnNhà và Thương mại Dầu khí),Quảng Ngãi,"83,26%","83,26%",145.892.845.365,"Sản xuất bao bì, thương mại, quản lý nhà ở và kinh doanh dịch vụ khu dân cư, khu đô thị",,0.8326,0.8326,145892845365.0,
