row_label_raw,row_label_full,col_0,Nhà xưởngvà vật kiến trúc,Máy mócvà thiết bị,"Phương tiện vận tải, thiết bị truyền dẫn",Thiết bị văn phòng,Tài sản cố định hữu hình khác,Tổng,numeric__Nhà xưởngvà vật kiến trúc,numeric__Máy mócvà thiết bị,"numeric__Phương tiện vận tải, thiết bị truyền dẫn",numeric__Thiết bị văn phòng,numeric__Tài sản cố định hữu hình khác,numeric__Tổng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,6.417.948.697.725,38.516.244.681.175,174.180.763.972,584.308.394.857,740.667.912,45.693.423.205.641,6417948697725.0,38516244681175.0,174180763972.0,584308394857.0,740667912.0,45693423205641.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,2.573.944.000,115.085.552.441,10.699.392.550,25.848.476.988,-,154.207.365.979,2573944000.0,115085552441.0,10699392550.0,25848476988.0,,154207365979.0
Đầu tư xây dựng cơ bản hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,-,228.172.577.321,-,-,-,228.172.577.321,,228172577321.0,,,,228172577321.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(2.033.824.000),(2.196.095.334),-,-,(4.229.919.334),,-2033824000.0,-2196095334.0,,,-4229919334.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,6.420.522.641.725,38.857.468.986.937,182.684.061.188,610.156.871.845,740.667.912,46.071.573.229.607,6420522641725.0,38857468986937.0,182684061188.0,610156871845.0,740667912.0,46071573229607.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,3.521.330.393.101,26.815.895.896.200,128.230.094.968,521.595.500.528,577.769.282,30.987.629.654.079,3521330393101.0,26815895896200.0,128230094968.0,521595500528.0,577769282.0,30987629654079.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,195.052.119.664,1.879.288.451.092,10.330.311.422,23.004.149.020,31.000.000,2.107.706.031.198,195052119664.0,1879288451092.0,10330311422.0,23004149020.0,31000000.0,2107706031198.0
Tăng khác,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng khác,Tăng khác,-,-,-,79.108.781,-,79.108.781,,,,79108781.0,,79108781.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(2.033.824.000),(2.196.095.334),-,-,(4.229.919.334),,-2033824000.0,-2196095334.0,,,-4229919334.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,3.716.382.512.765,28.693.150.523.292,136.364.311.056,544.678.758.329,608.769.282,33.091.184.874.724,3716382512765.0,28693150523292.0,136364311056.0,544678758329.0,608769282.0,33091184874724.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,2.896.618.304.624,11.700.348.784.975,45.950.669.004,62.712.894.329,162.898.630,14.705.793.551.562,2896618304624.0,11700348784975.0,45950669004.0,62712894329.0,162898630.0,14705793551562.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,2.704.140.128.960,10.164.318.463.645,46.319.750.132,65.478.113.516,131.898.630,12.980.388.354.883,2704140128960.0,10164318463645.0,46319750132.0,65478113516.0,131898630.0,12980388354883.0
