row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Quỹ Đầu tư Phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Cộng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Quỹ Đầu tư Phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Cộng VND
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,31.004.996.160.000,5.596.320.305.105,14.836.240.795.029,51.437.557.260.134,31004996160000.0,5596320305105.0,14836240795029.0,51437557260134.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,8.755.114.469.628,8.755.114.469.628,,,8755114469628.0,8755114469628.0
"Trích Quỹ khen thưởng,phúc lợi và Quỹ thưởngBan điều hành","Trích Quỹ khen thưởng,phúc lợi và Quỹ thưởngBan điều hành","Trích Quỹ khen thưởng,phúc lợi và Quỹ thưởngBan điều hành",-,-,(333.562.300.000),(333.562.300.000),,,-333562300000.0,-333562300000.0
Trích Quỹ Đầu tưphát triển,Trích Quỹ Đầu tưphát triển,Trích Quỹ Đầu tưphát triển,-,4.450.872.238.509,(4.450.872.238.509),-,,4450872238509.0,-4450872238509.0,
Chia cổ tức năm 2022,Chia cổ tức năm 2022,Chia cổ tức năm 2022,-,-,(2.170.349.731.200),(2.170.349.731.200),,,-2170349731200.0,-2170349731200.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,31.004.996.160.000,10.047.192.543.614,16.636.570.994.948,57.688.759.698.562,31004996160000.0,10047192543614.0,16636570994948.0,57688759698562.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,316.727.575.109,316.727.575.109,,,316727575109.0,316727575109.0
"Trích Quỹ khen thưởng,phúc lợi và Quỹ thưởngBan điều hành (i)","Trích Quỹ khen thưởng,phúc lợi và Quỹ thưởngBan điều hành (i)","Trích Quỹ khen thưởng,phúc lợi và Quỹ thưởngBan điều hành (i)",-,-,(343.678.600.000),(343.678.600.000),,,-343678600000.0,-343678600000.0
Trích Quỹ Đầu tưphát triển (i),Trích Quỹ Đầu tưphát triển (i),Trích Quỹ Đầu tưphát triển (i),-,2.626.534.340.888,(2.626.534.340.888),-,,2626534340888.0,-2626534340888.0,
Chia cổ tức năm 2023 (i),Chia cổ tức năm 2023 (i),Chia cổ tức năm 2023 (i),-,-,(2.170.349.731.200),(2.170.349.731.200),,,-2170349731200.0,-2170349731200.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,31.004.996.160.000,12.673.726.884.502,11.812.735.897.969,55.491.458.942.471,31004996160000.0,12673726884502.0,11812735897969.0,55491458942471.0
