row_label_raw,row_label_full,Bên liên quan,Bản chất của giao dịch,2019Nghìn VND,2018Nghìn VND,numeric__Bản chất của giao dịch,numeric__2019Nghìn VND,numeric__2018Nghìn VND
Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,,,
Công ty Cổ phần,Công ty mẹ cấp cao nhất > Công ty Cổ phần,Công ty Cổ phần,Lãi trái phiếu,120.429.756,17.260.159,,120429756.0,17260159.0
Tập đoàn Masan,Công ty mẹ cấp cao nhất > Tập đoàn Masan,Tập đoàn Masan,Cho vay,1.000.000.000,-,,1000000000.0,
Bên liên quan của công ty mẹ cấp cao nhất,Bên liên quan của công ty mẹ cấp cao nhất,Bên liên quan của công ty mẹ cấp cao nhất,Bên liên quan của công ty mẹ cấp cao nhất,Bên liên quan của công ty mẹ cấp cao nhất,Bên liên quan của công ty mẹ cấp cao nhất,,,
Ngân hàng trong nước,Bên liên quan của công ty mẹ cấp cao nhất > Ngân hàng trong nước,Ngân hàng trong nước,Chi phí lãi vay và chi phí đi vay,73.109.464,109.606.407,,73109464.0,109606407.0
Ngân hàng trong nước,Bên liên quan của công ty mẹ cấp cao nhất > Ngân hàng trong nước,Ngân hàng trong nước,Khoản vay nhận được,1.367.341.337,1.651.044.370,,1367341337.0,1651044370.0
Ngân hàng trong nước,Bên liên quan của công ty mẹ cấp cao nhất > Ngân hàng trong nước,Ngân hàng trong nước,Khoản vay đã trả,1.498.587.983,1.406.718.782,,1498587983.0,1406718782.0
Ngân hàng trong nước,Bên liên quan của công ty mẹ cấp cao nhất > Ngân hàng trong nước,Ngân hàng trong nước,Tiền thu được từ phát hành trái phiếu (i),2.000.000.000,3.800.000.000,,2000000000.0,3800000000.0
Ngân hàng trong nước,Bên liên quan của công ty mẹ cấp cao nhất > Ngân hàng trong nước,Ngân hàng trong nước,Phí đã trả liên quan đến trái phiếu,18.550.000,-,,18550000.0,
Công ty con của công ty mẹ cấp cao nhất,Công ty con của công ty mẹ cấp cao nhất,Công ty con của công ty mẹ cấp cao nhất,Công ty con của công ty mẹ cấp cao nhất,Công ty con của công ty mẹ cấp cao nhất,Công ty con của công ty mẹ cấp cao nhất,,,
Công ty Cổ phần Hàng tiêu dùng Masan,Công ty con của công ty mẹ cấp cao nhất > Công ty Cổ phần Hàng tiêu dùng Masan,Công ty Cổ phần Hàng tiêu dùng Masan,Mua hàng hóa,1.352.168,1.072.107,,1352168.0,1072107.0
Công ty Cổ phần Hàng tiêu dùng Masan,Công ty con của công ty mẹ cấp cao nhất > Công ty Cổ phần Hàng tiêu dùng Masan,Công ty Cổ phần Hàng tiêu dùng Masan,Mua dịch vụ,2.509.043,3.261.776,,2509043.0,3261776.0
Công ty TNHH Tầm nhìn Masan,Công ty con của công ty mẹ cấp cao nhất > Công ty TNHH Tầm nhìn Masan,Công ty TNHH Tầm nhìn Masan,NPM thanh toán hộ phí,2.050.559,8.220.964,,2050559.0,8220964.0
Công ty TNHH Tầm nhìn Masan,Công ty con của công ty mẹ cấp cao nhất > Công ty TNHH Tầm nhìn Masan,Công ty TNHH Tầm nhìn Masan,Hủy bỏ thỏa thuận bán các khoản phải thu tiền bồi thường (Thuyết minh 8(a)),256.200.000,-,,256200000.0,
Công ty TNHH Tầm nhìn Masan,Công ty con của công ty mẹ cấp cao nhất > Công ty TNHH Tầm nhìn Masan,Công ty TNHH Tầm nhìn Masan,Đên bù việc hủy bỏ thỏa thuận các khoản phải thu tiền bồi thường(Thuyết minh 8(a)),74.936.877,-,,74936877.0,
Cán bộ quản lý chủ chốt,Cán bộ quản lý chủ chốt,Cán bộ quản lý chủ chốt,Cán bộ quản lý chủ chốt,Cán bộ quản lý chủ chốt,Cán bộ quản lý chủ chốt,,,
,,,"Lương, thường và các phúc lợi khác (ii)",31.123.186,29.448.024,,31123186.0,29448024.0
Hội đồng Thành viên (“HĐTV”),Hội đồng Thành viên (“HĐTV”),Hội đồng Thành viên (“HĐTV”),Hội đồng Thành viên (“HĐTV”),Hội đồng Thành viên (“HĐTV”),Hội đồng Thành viên (“HĐTV”),,,
Thành viên HĐTV,Hội đồng Thành viên (“HĐTV”) > Thành viên HĐTV,Thành viên HĐTV,Bán hàng hóa cho một công ty liên quancủa một thành viên (iii),-,720.924.481,,,720924481.0
Thành viên HĐTV,Hội đồng Thành viên (“HĐTV”) > Thành viên HĐTV,Thành viên HĐTV,Mua hàng hóa từ một công ty liên quancủa một thành viên (iii),725.041.695,-,,725041695.0,
