row_label_raw,row_label_full,col_0,2019Nghìn VND,2018Nghìn VND,numeric__2019Nghìn VND,numeric__2018Nghìn VND
Lợi nhuận trước thuế,Lợi nhuận trước thuế,Lợi nhuận trước thuế,465.786.343,828.112.544,465786343.0,828112544.0
Thuế tính theo thuế suất của Công ty,Thuế tính theo thuế suất của Công ty,Thuế tính theo thuế suất của Công ty,93.157.269,165.622.509,93157269.0,165622509.0
Chi phí không được khấu trừ thuế,Chi phí không được khấu trừ thuế,Chi phí không được khấu trừ thuế,21.340.103,1.924.546,21340103.0,1924546.0
Uu đãi thuế,Uu đãi thuế,Uu đãi thuế,(32.286.329),(81.283.126),-32286329.0,-81283126.0
Ảnh hưởng của mức thuế suất khác áp dụng đối với công ty con,Ảnh hưởng của mức thuế suất khác áp dụng đối với công ty con,Ảnh hưởng của mức thuế suất khác áp dụng đối với công ty con,1.762.922,(75.159.542),1762922.0,-75159542.0
Lỗ tính thuế được sử dụng mà tài sản thuế thu nhập hoãn lại chưa được ghi nhận,Lỗ tính thuế được sử dụng mà tài sản thuế thu nhập hoãn lại chưa được ghi nhận,Lỗ tính thuế được sử dụng mà tài sản thuế thu nhập hoãn lại chưa được ghi nhận,-,(351.540),,-351540.0
Dự phòng thiếu trong những năm trước,Dự phòng thiếu trong những năm trước,Dự phòng thiếu trong những năm trước,10.196.118,-,10196118.0,
Tài sản thuế thu nhập hoãn lại không được ghi nhận,Tài sản thuế thu nhập hoãn lại không được ghi nhận,Tài sản thuế thu nhập hoãn lại không được ghi nhận,24.259.305,-,24259305.0,
Biến động chênh lệch tạm thời,Biến động chênh lệch tạm thời,Biến động chênh lệch tạm thời,(5.036.860),7.358.018,-5036860.0,7358018.0
,,,113.392.528,18.110.865,113392528.0,18110865.0
