row_label_raw,row_label_full,Từ ngày 1/1/2018 đến ngày 31/12/2018,ĐồngNghìn VND,FluoritNghìn VND,VonframNghìn VND,Các bộ phậnkhácNghìn VND,Tổng cộngNghìn VND,numeric__ĐồngNghìn VND,numeric__FluoritNghìn VND,numeric__VonframNghìn VND,numeric__Các bộ phậnkhácNghìn VND,numeric__Tổng cộngNghìn VND
Doanh thu bộ phận,Doanh thu bộ phận,Doanh thu bộ phận,942.301.136,1.381.223.555,4.215.790.172,325.696.012,6.865.010.875,942301136.0,1381223555.0,4215790172.0,325696012.0,6865010875.0
Lợi nhuận gộp của bộ phận,Lợi nhuận gộp của bộ phận,Lợi nhuận gộp của bộ phận,530.675.974,876.394.721,672.811.508,81.579.388,2.161.461.591,530675974.0,876394721.0,672811508.0,81579388.0,2161461591.0
Chi phí không phân bổ,Chi phí không phân bổ,Chi phí không phân bổ,,,,,231.354.203,,,,,231354203.0
Thu nhập từ hoạt động tài chính,Thu nhập từ hoạt động tài chính,Thu nhập từ hoạt động tài chính,,,,,126.790.749,,,,,126790749.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,,1.204.829.996,,,,,1204829996.0
Kết quả từ các hoạt động kinh doanh,Kết quả từ các hoạt động kinh doanh,Kết quả từ các hoạt động kinh doanh,,,,,852.068.141,,,,,852068141.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,,,2.098.777,,,,,2098777.0
Chi phí khác,Chi phí khác,Chi phí khác,,,,,26.054.374,,,,,26054374.0
Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,,,,,18.110.865,,,,,18110865.0
Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,,,,,810.001.679,,,,,810001679.0
