row_label_raw,row_label_full,Từ ngày 1/1/2019 đến ngày 31/12/2019,ĐồngNghìn VND,FluoritNghìn VND,VonframNghìn VND,Các bộ phậnkhácNghìn VND,Tổng cộngNghìn VND,numeric__ĐồngNghìn VND,numeric__FluoritNghìn VND,numeric__VonframNghìn VND,numeric__Các bộ phậnkhácNghìn VND,numeric__Tổng cộngNghìn VND
Doanh thu bộ phận,Doanh thu bộ phận,Doanh thu bộ phận,34.116.482,1.696.168.333,2.898.070.934,77.774.109,4.706.129.858,34116482.0,1696168333.0,2898070934.0,77774109.0,4706129858.0
Lợi nhuận/(lỗ) gộp của bộ phận,Lợi nhuận/(lỗ) gộp của bộ phận,Lợi nhuận/(lỗ) gộp của bộ phận,6.914.560,1.076.441.562,(240.417.870),(107.953.692),734.984.560,6914560.0,1076441562.0,-240417870.0,-107953692.0,734984560.0
Chi phí không phân bổ,Chi phí không phân bổ,Chi phí không phân bổ,,,,,246.789.513,,,,,246789513.0
Thu nhập từ hoạt động tài chính,Thu nhập từ hoạt động tài chính,Thu nhập từ hoạt động tài chính,,,,,931.680.260,,,,,931680260.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,,1.290.661.189,,,,,1290661189.0
Kết quả từ các hoạt động kinh doanh,Kết quả từ các hoạt động kinh doanh,Kết quả từ các hoạt động kinh doanh,,,,,129.214.118,,,,,129214118.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,,,1.230.029.410,,,,,1230029410.0
Chi phí khác,Chi phí khác,Chi phí khác,,,,,893.457.185,,,,,893457185.0
Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,,,,,113.392.528,,,,,113392528.0
Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,,,,,352.393.815,,,,,352393815.0
