row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc Nghìn VND,Máy móc và thiết bị Nghìn VND,Dụng cụ văn phòng Nghìn VND,Phương tiện vận chuyển Nghìn VND,Tài sản khai thác khoáng sản khác Nghìn VND,Tổng cộng Nghìn VND,numeric__Nhà cửa và vật kiến trúc Nghìn VND,numeric__Máy móc và thiết bị Nghìn VND,numeric__Dụng cụ văn phòng Nghìn VND,numeric__Phương tiện vận chuyển Nghìn VND,numeric__Tài sản khai thác khoáng sản khác Nghìn VND,numeric__Tổng cộng Nghìn VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,4.698.184.003,12.624.666.170,41.938.774,19.958.285,5.026.291.284,22.411.038.516,4698184003.0,12624666170.0,41938774.0,19958285.0,5026291284.0,22411038516.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,1.555.000,-,-,69.634.852,71.189.852,,1555000.0,,,69634852.0,71189852.0
Chuyển từ xây dựng cơ bản dở dang (Thuyết minh 13),Nguyên giá > Chuyển từ xây dựng cơ bản dở dang (Thuyết minh 13),Chuyển từ xây dựng cơ bản dở dang (Thuyết minh 13),347.106.893,110.567.626,609.535,-,-,458.284.054,347106893.0,110567626.0,609535.0,,,458284054.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,-,(321.217),(3.771.337),-,(4.092.554),,,-321217.0,-3771337.0,,-4092554.0
Quyết toán chi phí xây dựng cơ bản:,Quyết toán chi phí xây dựng cơ bản:,Quyết toán chi phí xây dựng cơ bản:,Quyết toán chi phí xây dựng cơ bản:,Quyết toán chi phí xây dựng cơ bản:,Quyết toán chi phí xây dựng cơ bản:,Quyết toán chi phí xây dựng cơ bản:,Quyết toán chi phí xây dựng cơ bản:,Quyết toán chi phí xây dựng cơ bản:,,,,,,
▪ Điều chỉnh do thu tiền từ thỏa thuận đàn xếp vụ kiện tại trọng tài quốc tế (Thuyết minh 33(i)),Quyết toán chi phí xây dựng cơ bản: > ▪ Điều chỉnh do thu tiền từ thỏa thuận đàn xếp vụ kiện tại trọng tài quốc tế (Thuyết minh 33(i)),▪ Điều chỉnh do thu tiền từ thỏa thuận đàn xếp vụ kiện tại trọng tài quốc tế (Thuyết minh 33(i)),(110.338.241),(873.823.664),-,-,-,(984.161.905),-110338241.0,-873823664.0,,,,-984161905.0
▪ Điều chỉnh do quyết toán chi phí,Quyết toán chi phí xây dựng cơ bản: > ▪ Điều chỉnh do quyết toán chi phí,▪ Điều chỉnh do quyết toán chi phí,(4.177.004),(41.541.479),-,-,-,(45.718.483),-4177004.0,-41541479.0,,,,-45718483.0
Số dư cuối năm,Quyết toán chi phí xây dựng cơ bản: > Số dư cuối năm,Số dư cuối năm,4.930.775.651,11.821.423.653,42.227.092,16.186.948,5.095.926.136,21.906.539.480,4930775651.0,11821423653.0,42227092.0,16186948.0,5095926136.0,21906539480.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,806.303.809,2.865.762.055,36.618.723,12.949.335,921.461.313,4.643.095.235,806303809.0,2865762055.0,36618723.0,12949335.0,921461313.0,4643095235.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,266.861.185,686.610.811,1.997.903,2.425.409,205.869.046,1.163.764.354,266861185.0,686610811.0,1997903.0,2425409.0,205869046.0,1163764354.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,-,(321.217),(3.771.337),-,(4.092.554),,,-321217.0,-3771337.0,,-4092554.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,1.073.164.994,3.552.372.866,38.295.409,11.603.407,1.127.330.359,5.802.767.035,1073164994.0,3552372866.0,38295409.0,11603407.0,1127330359.0,5802767035.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,3.891.880.194,9.758.904.115,5.320.051,7.008.950,4.104.829.971,17.767.943.281,3891880194.0,9758904115.0,5320051.0,7008950.0,4104829971.0,17767943281.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,3.857.610.657,8.269.050.787,3.931.683,4.583.541,3.968.595.777,16.103.772.445,3857610657.0,8269050787.0,3931683.0,4583541.0,3968595777.0,16103772445.0
