row_label_raw,row_label_full,Từ ngày 1/1/2019 đến ngày 31/12/2019,ĐồngNghìn VND,FluoritNghìn VND,VonframNghìn VND,Các bộ phậnkhácNghìn VND,Tổng cộngNghìn VND,numeric__ĐồngNghìn VND,numeric__FluoritNghìn VND,numeric__VonframNghìn VND,numeric__Các bộ phậnkhácNghìn VND,numeric__Tổng cộngNghìn VND
Chi tiêu vốn của bộ phận,Chi tiêu vốn của bộ phận,Chi tiêu vốn của bộ phận,467.834,85.520,155.979.770,35.436.976,191.970.100,467834.0,85520.0,155979770.0,35436976.0,191970100.0
Chi tiêu vốn không phân bổ,Chi tiêu vốn không phân bổ,Chi tiêu vốn không phân bổ,,,,,696.253.537,,,,,696253537.0
Khấu hao tài sản cố định,Khấu hao tài sản cố định,Khấu hao tài sản cố định,14.048.610,71.389.313,114.556.457,92.700.766,292.695.146,14048610.0,71389313.0,114556457.0,92700766.0,292695146.0
Khấu hao tài sản cố định không phân bổ,Khấu hao tài sản cố định không phân bổ,Khấu hao tài sản cố định không phân bổ,,,,,913.688.415,,,,,913688415.0
Chi phí trả trước kết chuyển vào hoạt động sản xuất kinh doanhchung không phân bổ theo bộ phận,Chi phí trả trước kết chuyển vào hoạt động sản xuất kinh doanhchung không phân bổ theo bộ phận,Chi phí trả trước kết chuyển vào hoạt động sản xuất kinh doanhchung không phân bổ theo bộ phận,,,,,190.694.275,,,,,190694275.0
Từ ngày 1/1/2018 đến ngày 31/12/2018,Từ ngày 1/1/2018 đến ngày 31/12/2018,Từ ngày 1/1/2018 đến ngày 31/12/2018,ĐồngNghìn VND,FluoritNghìn VND,VonframNghìn VND,Các bộphận khácNghìn VND,Tổng cộngNghìn VND,,,,,
Chi tiêu vốn của bộ phận,Từ ngày 1/1/2018 đến ngày 31/12/2018 > Chi tiêu vốn của bộ phận,Chi tiêu vốn của bộ phận,12.582.007,40.755.435,141.991.766,858.003,196.187.211,12582007.0,40755435.0,141991766.0,858003.0,196187211.0
Chi tiêu vốn không phân bổ,Từ ngày 1/1/2018 đến ngày 31/12/2018 > Chi tiêu vốn không phân bổ,Chi tiêu vốn không phân bổ,,,,,880.284.135,,,,,880284135.0
Khấu hao tài sản cố định,Từ ngày 1/1/2018 đến ngày 31/12/2018 > Khấu hao tài sản cố định,Khấu hao tài sản cố định,14.148.728,73.665.368,145.814.184,96.478.087,330.106.367,14148728.0,73665368.0,145814184.0,96478087.0,330106367.0
Khấu hao tài sản cố định không phân bổ,Từ ngày 1/1/2018 đến ngày 31/12/2018 > Khấu hao tài sản cố định không phân bổ,Khấu hao tài sản cố định không phân bổ,,,,,905.802.411,,,,,905802411.0
Chi phí trả trước kết chuyển vào hoạt động sản xuất kinh doanhchung không phân bổ theo bộ phận,Từ ngày 1/1/2018 đến ngày 31/12/2018 > Chi phí trả trước kết chuyển vào hoạt động sản xuất kinh doanhchung không phân bổ theo bộ phận,Chi phí trả trước kết chuyển vào hoạt động sản xuất kinh doanhchung không phân bổ theo bộ phận,,,,,209.398.773,,,,,209398773.0
