row_label_raw,row_label_full,col_0,Phần mềm máy vi tính Nghìn VND,Quyền khai thác khoáng sản Nghìn VND,Tổng cộng Nghìn VND,numeric__Phần mềm máy vi tính Nghìn VND,numeric__Quyền khai thác khoáng sản Nghìn VND,numeric__Tổng cộng Nghìn VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,99.907.214,588.370.818,688.278.032,99907214.0,588370818.0,688278032.0
Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 13),Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 13),Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 13),8.402.685,-,8.402.685,8402685.0,,8402685.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,108.309.899,588.370.818,696.680.717,108309899.0,588370818.0,696680717.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,61.354.769,127.570.030,188.924.799,61354769.0,127570030.0,188924799.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,12.068.879,30.550.328,42.619.207,12068879.0,30550328.0,42619207.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,73.423.648,158.120.358,231.544.006,73423648.0,158120358.0,231544006.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,38.552.445,460.800.788,499.353.233,38552445.0,460800788.0,499353233.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,34.886.251,430.250.460,465.136.711,34886251.0,430250460.0,465136711.0
