row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,31/12/2019 Nghìn VND,1/1/2019 Nghìn VND,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2019 Nghìn VND,numeric__1/1/2019 Nghìn VND
NGUỒN VỐN,NGUỒN VỐN,NGUỒN VỐN,NGUỒN VỐN,NGUỒN VỐN,NGUỒN VỐN,NGUỒN VỐN,,,,
NỘ PHẢI TRẢ (300 = 310 + 330),NGUỒN VỐN > NỘ PHẢI TRẢ (300 = 310 + 330),NỘ PHẢI TRẢ (300 = 310 + 330),300,,17.304.897.615,15.823.171.322,300.0,,17304897615.0,15823171322.0
Nợ ngắn hạn,NGUỒN VỐN > Nợ ngắn hạn,Nợ ngắn hạn,310,,11.219.362.163,4.101.944.806,310.0,,11219362163.0,4101944806.0
Phải trả người bán ngắn hạn,NGUỒN VỐN > Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,311,,324.870.571,526.342.610,311.0,,324870571.0,526342610.0
Người mua trả tiền trước ngắn hạn,NGUỒN VỐN > Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,312,15,1.105.603.346,238.767.158,312.0,15.0,1105603346.0,238767158.0
Thuế và các khoản phải nộp Nhà nước,NGUỒN VỐN > Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,313,16,199.721.483,66.770.503,313.0,16.0,199721483.0,66770503.0
Phải trả người lao động,NGUỒN VỐN > Phải trả người lao động,Phải trả người lao động,314,,6.220,-,314.0,,6220.0,
Chi phí phải trả ngắn hạn,NGUỒN VỐN > Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,315,17,704.901.206,734.808.645,315.0,17.0,704901206.0,734808645.0
Phải trả ngắn hạn khác,NGUỒN VỐN > Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,319,18,1.126.975.596,67.894.855,319.0,18.0,1126975596.0,67894855.0
"Vay, trái phiếu phát hành và nợ thuê tài chính ngắn hạn","NGUỒN VỐN > Vay, trái phiếu phát hành và nợ thuê tài chính ngắn hạn","Vay, trái phiếu phát hành và nợ thuê tài chính ngắn hạn",320,19(a),7.757.283.741,2.467.361.035,320.0,,7757283741.0,2467361035.0
Nợ dài hạn,NGUỒN VỐN > Nợ dài hạn,Nợ dài hạn,330,,6.085.535.452,11.721.226.516,330.0,,6085535452.0,11721226516.0
Phải trả dài hạn khác,NGUỒN VỐN > Phải trả dài hạn khác,Phải trả dài hạn khác,337,18,-,1.124.123.839,337.0,18.0,,1124123839.0
"Vay, trái phiếu phát hành và nợ thuê tài chính dài hạn","NGUỒN VỐN > Vay, trái phiếu phát hành và nợ thuê tài chính dài hạn","Vay, trái phiếu phát hành và nợ thuê tài chính dài hạn",338,19(b),4.969.653.657,9.491.007.736,338.0,,4969653657.0,9491007736.0
Thuế thu nhập hoãn lại phải trả,NGUỒN VỐN > Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,341,20(ii),586.978.688,613.430.657,341.0,,586978688.0,613430657.0
Dự phòng phải trả dài hạn,NGUỒN VỐN > Dự phòng phải trả dài hạn,Dự phòng phải trả dài hạn,342,21,528.903.107,492.664.284,342.0,21.0,528903107.0,492664284.0
,,,400,,12.469.822.266,12.125.954.245,400.0,,12469822266.0,12125954245.0
VỐN CHỦ SỞ HỮU (400 = 410),NGUỒN VỐN > VỐN CHỦ SỞ HỮU (400 = 410),VỐN CHỦ SỞ HỮU (400 = 410),410,22,12.469.822.266,12.125.954.245,410.0,22.0,12469822266.0,12125954245.0
Vốn chủ sở hữu,NGUỒN VỐN > Vốn chủ sở hữu,Vốn chủ sở hữu,411,23,9.892.398.780,8.993.091.220,411.0,23.0,9892398780.0,8993091220.0
- Cổ phiếu phổ thông có quyền biểu quyết,NGUỒN VỐN > - Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,9.892.398.780,8.993.091.220,,,9892398780.0,8993091220.0
Thặng du vốn cổ phần,NGUỒN VỐN > Thặng du vốn cổ phần,Thặng du vốn cổ phần,412,23,145.709.384,145.709.384,412.0,23.0,145709384.0,145709384.0
Vốn khác của chủ sở hữu,NGUỒN VỐN > Vốn khác của chủ sở hữu,Vốn khác của chủ sở hữu,414,,(295.683.347),(295.683.347),414.0,,-295683347.0,-295683347.0
Lợi nhuận sau thuế chưa phân phối,NGUỒN VỐN > Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,421,,2.727.397.449,3.282.836.988,421.0,,2727397449.0,3282836988.0
- Lợi nhuận sau thuế chưa phân phối đến cuối năm trước,NGUỒN VỐN > - Lợi nhuận sau thuế chưa phân phối đến cuối năm trước,- Lợi nhuận sau thuế chưa phân phối đến cuối năm trước,421a,,2.375.003.634,2.757.718.772,,,2375003634.0,2757718772.0
- Lợi nhuận sau thuế chưa phân phối năm nay,NGUỒN VỐN > - Lợi nhuận sau thuế chưa phân phối năm nay,- Lợi nhuận sau thuế chưa phân phối năm nay,421b,,352.393.815,525.118.216,,,352393815.0,525118216.0
TỔNG NGUỒN VỐN(440 = 300 + 400),NGUỒN VỐN > TỔNG NGUỒN VỐN(440 = 300 + 400),TỔNG NGUỒN VỐN(440 = 300 + 400),440,,29.774.719.881,27.949.125.567,440.0,,29774719881.0,27949125567.0
