row_label_raw,row_label_full,col_0,31/12/2019Nghìn VND,1/1/2019Nghìn VND,numeric__31/12/2019Nghìn VND,numeric__1/1/2019Nghìn VND
Phải thu ngắn hạn,Phải thu ngắn hạn,Phải thu ngắn hạn,Phải thu ngắn hạn,Phải thu ngắn hạn,,
Phải thu từ việc bán các khoản phải thu tiền bồi thường (a),Phải thu ngắn hạn > Phải thu từ việc bán các khoản phải thu tiền bồi thường (a),Phải thu từ việc bán các khoản phải thu tiền bồi thường (a),-,10.000.000,,10000000.0
Phải thu tiền cấp quyền khai thác khoáng sản (b),Phải thu ngắn hạn > Phải thu tiền cấp quyền khai thác khoáng sản (b),Phải thu tiền cấp quyền khai thác khoáng sản (b),239.835.807,-,239835807.0,
Phải thu ngắn hạn khác (c),Phải thu ngắn hạn > Phải thu ngắn hạn khác (c),Phải thu ngắn hạn khác (c),10.720.567,466.781.196,10720567.0,466781196.0
,,,250.556.374,476.781.196,250556374.0,476781196.0
Phải thu dài hạn,Phải thu dài hạn,Phải thu dài hạn,Phải thu dài hạn,Phải thu dài hạn,,
Phải thu tiền bồi thường giải phóng mặt bằng từ UBND,Phải thu tiền bồi thường giải phóng mặt bằng từ UBND,Phải thu tiền bồi thường giải phóng mặt bằng từ UBND,,,,
Tỉnh Thái Nguyên (d),Phải thu tiền bồi thường giải phóng mặt bằng từ UBND > Tỉnh Thái Nguyên (d),Tỉnh Thái Nguyên (d),1.249.999.696,1.303.754.210,1249999696.0,1303754210.0
Nộp tiền ký quỹ cho Quỹ Bảo vệ Môi trường (e),Phải thu tiền bồi thường giải phóng mặt bằng từ UBND > Nộp tiền ký quỹ cho Quỹ Bảo vệ Môi trường (e),Nộp tiền ký quỹ cho Quỹ Bảo vệ Môi trường (e),53.306.374,30.990.592,53306374.0,30990592.0
Phải thu dài hạn khác,Phải thu tiền bồi thường giải phóng mặt bằng từ UBND > Phải thu dài hạn khác,Phải thu dài hạn khác,562.828,562.828,562828.0,562828.0
,,,1.303.868.898,1.335.307.630,1303868898.0,1335307630.0
