row_label_raw,row_label_full,col_0,Chi phí đền bù giải phóng mặt bằng Nghìn VND,Chi phí khai thác khoáng sản khác Nghìn VND,Chi phí trả trước khác Nghìn VND,Tổng cộng Nghìn VND,numeric__Chi phí đền bù giải phóng mặt bằng Nghìn VND,numeric__Chi phí khai thác khoáng sản khác Nghìn VND,numeric__Chi phí trả trước khác Nghìn VND,numeric__Tổng cộng Nghìn VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,1.031.622.693,1.489.806.964,55.012.271,2.576.441.928,1031622693.0,1489806964.0,55012271.0,2576441928.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,-,175.640.219,15.409.467,191.049.686,,175640219.0,15409467.0,191049686.0
Chuyển từ phải thu dài hạn,Chuyển từ phải thu dài hạn,Chuyển từ phải thu dài hạn,49.061.244,-,-,49.061.244,49061244.0,,,49061244.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(73.905.933),(102.392.964),(14.395.378),(190.694.275),-73905933.0,-102392964.0,-14395378.0,-190694275.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,1.006.778.004,1.563.054.219,56.026.360,2.625.858.583,1006778004.0,1563054219.0,56026360.0,2625858583.0
