row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,31/12/2019 Nghìn VND,1/1/2019 Nghìn VND,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2019 Nghìn VND,numeric__1/1/2019 Nghìn VND
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,
Tài sản ngắn hạn\( (100 = 110 + 120 + 130 + 140 + 150) \),TÀI SẢN > Tài sản ngắn hạn\( (100 = 110 + 120 + 130 + 140 + 150) \),Tài sản ngắn hạn\( (100 = 110 + 120 + 130 + 140 + 150) \),100,,7.581.595.985,4.333.718.245,100.0,,7581595985.0,4333718245.0
Tiền và các khoản tương đương tiền,TÀI SẢN > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,110,5,1.723.204.606,467.220.260,110.0,5.0,1723204606.0,467220260.0
Tiền,TÀI SẢN > Tiền,Tiền,111,,941.446.956,263.449.041,111.0,,941446956.0,263449041.0
Các khoản tương đương tiền,TÀI SẢN > Các khoản tương đương tiền,Các khoản tương đương tiền,112,,781.757.650,203.771.219,112.0,,781757650.0,203771219.0
Đầu tư tài chính ngắn hạn,TÀI SẢN > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,120,,5.900.000,-,120.0,,5900000.0,
Đầu tư nắm giữ đến ngày đáo hạn,TÀI SẢN > Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,123,,5.900.000,-,123.0,,5900000.0,
Các khoản phải thu ngắn hạn,TÀI SẢN > Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,130,,1.735.574.636,1.612.852.955,130.0,,1735574636.0,1612852955.0
Phải thu ngắn hạn của khách hàng,TÀI SẢN > Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,131,6,280.413.823,960.321.689,131.0,6.0,280413823.0,960321689.0
Trả trước cho người bán ngắn hạn,TÀI SẢN > Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,132,,204.604.439,175.750.070,132.0,,204604439.0,175750070.0
Phải thu về cho vay ngắn hạn,TÀI SẢN > Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,135,7,1.000.000.000,-,135.0,7.0,1000000000.0,
Phải thu ngắn hạn khác,TÀI SẢN > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,136,8,250.556.374,476.781.196,136.0,8.0,250556374.0,476781196.0
Hàng tồn kho,TÀI SẢN > Hàng tồn kho,Hàng tồn kho,140,9,3.139.024.753,1.646.014.138,140.0,9.0,3139024753.0,1646014138.0
Hàng tồn kho,TÀI SẢN > Hàng tồn kho,Hàng tồn kho,141,,3.139.024.753,1.646.014.138,141.0,,3139024753.0,1646014138.0
Tài sản ngắn hạn khác,TÀI SẢN > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,150,,977.891.990,607.630.892,150.0,,977891990.0,607630892.0
Chi phí trả trước ngắn hạn,TÀI SẢN > Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,151,,41.186.774,45.996.377,151.0,,41186774.0,45996377.0
Thuế giá trị gia tăng được khấu trừ,TÀI SẢN > Thuế giá trị gia tăng được khấu trừ,Thuế giá trị gia tăng được khấu trừ,152,,936.705.216,561.634.515,152.0,,936705216.0,561634515.0
