row_label_raw,row_label_full,Phải trả ngắn hạn và dài hạn khác bao gồm các khoản sau:,Phải trả ngắn hạn và dài hạn khác bao gồm các khoản sau:_1,Phải trả ngắn hạn và dài hạn khác bao gồm các khoản sau:_2,numeric__Phải trả ngắn hạn và dài hạn khác bao gồm các khoản sau:_1,numeric__Phải trả ngắn hạn và dài hạn khác bao gồm các khoản sau:_2
,,,31/12/2019Nghìn VND,1/1/2019Nghìn VND,,
Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,,
Phải trả cho Công ty Cổ phần Tập đoàn Masan (“MSN”) – công ty mẹ cấp cao nhất,Phải trả cho Công ty Cổ phần Tập đoàn Masan (“MSN”) – công ty mẹ cấp cao nhất,Phải trả cho Công ty Cổ phần Tập đoàn Masan (“MSN”) – công ty mẹ cấp cao nhất,,,,
Chi phí tài chính – ngắn hạn (b),Phải trả cho Công ty Cổ phần Tập đoàn Masan (“MSN”) – công ty mẹ cấp cao nhất > Chi phí tài chính – ngắn hạn (b),Chi phí tài chính – ngắn hạn (b),1.124.123.839,-,1124123839.0,
Phải trả cho Công ty Cổ phần Tầm nhìn Masan (“MH”) – công ty mẹ trực tiếp,Phải trả cho Công ty Cổ phần Tầm nhìn Masan (“MH”) – công ty mẹ trực tiếp,Phải trả cho Công ty Cổ phần Tầm nhìn Masan (“MH”) – công ty mẹ trực tiếp,,,,
Phi thương mại – ngắn hạn (a),Phải trả cho Công ty Cổ phần Tầm nhìn Masan (“MH”) – công ty mẹ trực tiếp > Phi thương mại – ngắn hạn (a),Phi thương mại – ngắn hạn (a),2.511.785,2.511.785,2511785.0,2511785.0
Phải trả khác cho các bên khác,Phải trả khác cho các bên khác,Phải trả khác cho các bên khác,,,,
Phải trả khác – ngắn hạn,Phải trả khác cho các bên khác > Phải trả khác – ngắn hạn,Phải trả khác – ngắn hạn,339.972,65.383.070,339972.0,65383070.0
,,,1.126.975.596,67.894.855,1126975596.0,67894855.0
Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,,
Phải trả MSN – công ty mẹ cấp cao nhất,Phải trả MSN – công ty mẹ cấp cao nhất,Phải trả MSN – công ty mẹ cấp cao nhất,,,,
Chi phí tài chính – dài hạn (b),Phải trả MSN – công ty mẹ cấp cao nhất > Chi phí tài chính – dài hạn (b),Chi phí tài chính – dài hạn (b),-,1.124.123.839,,1124123839.0
