row_label_raw,row_label_full,col_0,31.12.2025 > Giá gốc VND,31.12.2025 > Giá trị ghi sở VND,31.12.2024 > Giá gốc VND,31.12.2024 > Giá trị ghi sở VND,numeric__31.12.2025 > Giá gốc VND,numeric__31.12.2025 > Giá trị ghi sở VND,numeric__31.12.2024 > Giá gốc VND,numeric__31.12.2024 > Giá trị ghi sở VND
i. Ngắn hạn,i. Ngắn hạn,i. Ngắn hạn,,,,,,,,
Tiền gửi ngân hàng có kỳ hạn (*),i. Ngắn hạn > Tiền gửi ngân hàng có kỳ hạn (*),Tiền gửi ngân hàng có kỳ hạn (*),11.668.304.665.887,11.668.304.665.887,10.613.801.695.342,10.613.801.695.342,11668304665887.0,11668304665887.0,10613801695342.0,10613801695342.0
ii. Dài hạn,ii. Dài hạn,ii. Dài hạn,,,,,,,,
Tiền gửi ngân hàng có kỳ hạn,ii. Dài hạn > Tiền gửi ngân hàng có kỳ hạn,Tiền gửi ngân hàng có kỳ hạn,-,-,200.000.000,200.000.000,,,200000000.0,200000000.0
