row_label_raw,row_label_full,col_0,col_1,Năm tài chính kết thúcngày 31 tháng 12 năm,Năm tài chính kết thúcngày 31 tháng 12 năm_1,numeric__col_1,numeric__Năm tài chính kết thúcngày 31 tháng 12 năm,numeric__Năm tài chính kết thúcngày 31 tháng 12 năm_1
,,,,2025VND,2024VND,,,
,,,Số dư đầu năm(Hoàn nhập)/tăng dự phòng (Thuyết minh 25),17.126.007.656(2.346.505.891),16.797.484.252328.523.404,,,1.6797484252328524e+19
,,,Số dư cuối năm,14.779.501.765,17.126.007.656,,14779501765.0,17126007656.0
10,10,10,CHI PHÍ TRÀ TRƯỚC,,,,,
(a),(a),(a),Ngắn hạn,,,,,
,,,,31.12.2025VND,31.12.2024VND,,,
,,,"Chi phí thuê (bản quyền, văn phòng, kênh,dường truyền, cấp quang)",127.309.375.844,82.774.236.776,,127309375844.0,82774236776.0
,,,Khác,42.921.249.111,24.334.766.413,,42921249111.0,24334766413.0
,,,,170.230.624.955,107.109.003.189,,170230624955.0,107109003189.0
(b),(b),(b),Dài hạn,,,,,
,,,,31.12.2025VND,31.12.2024VND,,,
,,,Chi phí triển khai dịch vụ cho thuêbao mới (*),2.055.454.565.292,1.804.520.929.972,,2055454565292.0,1804520929972.0
,,,Chi phí thuê văn phòng,199.058.823.508,204.588.235.276,,199058823508.0,204588235276.0
,,,Khác,76.320.177.382,78.756.848.386,,76320177382.0,78756848386.0
,,,,2.330.833.566.182,2.087.866.013.634,,2330833566182.0,2087866013634.0
