row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND","Máy móc,thiết bịVND",Thiết bịquản lýVND,Phương tiệnvận tảiVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc,thiết bịVND",numeric__Thiết bịquản lýVND,numeric__Phương tiệnvận tảiVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Tại ngày 1 tháng 1 năm 2025,Nguyên giá > Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,140.484.102.675,12.555.478.896.990,32.530.190.293,17.463.286.510,12.745.956.476.468,140484102675.0,12555478896990.0,32530190293.0,17463286510.0,12745956476468.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,85.000.000,343.179.632.624,-,9.232.173.861,352.496.806.485,85000000.0,343179632624.0,,9232173861.0,352496806485.0
Chuyển sang từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển sang từ xây dựng cơ bản dở dang,Chuyển sang từ xây dựng cơ bản dở dang,439.124.143,843.654.386.277,-,-,844.093.510.420,439124143.0,843654386277.0,,,844093510420.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,(439.124.143),2.240.945.056,(1.114.889.509),(1.287.618.499),(600.687.095),-439124143.0,2240945056.0,-1114889509.0,-1287618499.0,-600687095.0
"Thanh lý, xóa sổ","Nguyên giá > Thanh lý, xóa sổ","Thanh lý, xóa sổ",-,(220.328.463.869),(606.011.544),(2.500.898.702),(223.435.374.115),,-220328463869.0,-606011544.0,-2500898702.0,-223435374115.0
Khác,Nguyên giá > Khác,Khác,-,(120.754.771),-,-,(120.754.771),,-120754771.0,,,-120754771.0
Tại ngày 31 tháng 12 năm 2025,Nguyên giá > Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,140.569.102.675,13.524.104.642.307,30.809.289.240,22.906.943.170,13.718.389.977.392,140569102675.0,13524104642307.0,30809289240.0,22906943170.0,13718389977392.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,
Tại ngày 1 tháng 1 năm 2025,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,(38.194.224.761),(7.719.886.589.567),(28.862.307.555),(10.571.461.559),(7.797.514.583.442),-38194224761.0,-7719886589567.0,-28862307555.0,-10571461559.0,-7797514583442.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,(6.174.753.207),(1.208.301.017.458),(936.393.840),(2.338.335.411),(1.217.750.499.916),-6174753207.0,-1208301017458.0,-936393840.0,-2338335411.0,-1217750499916.0
Phân loại lại,Giá trị khấu hao lũy kế > Phân loại lại,Phân loại lại,240.616,28.942.368,184.575.469,5.819.777,219.578.230,240616.0,28942368.0,184575469.0,5819777.0,219578230.0
"Thanh lý, xóa sổ","Giá trị khấu hao lũy kế > Thanh lý, xóa sổ","Thanh lý, xóa sổ",-,197.016.100.544,560.534.309,2.500.898.702,200.077.533.555,,197016100544.0,560534309.0,2500898702.0,200077533555.0
Khác,Giá trị khấu hao lũy kế > Khác,Khác,-,(12.905.091),-,-,(12.905.091),,-12905091.0,,,-12905091.0
Tại ngày 31 tháng 12 năm 2025,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,(44.368.737.352),(8.731.155.469.204),(29.053.591.617),(10.403.078.491),(8.814.980.876.664),-44368737352.0,-8731155469204.0,-29053591617.0,-10403078491.0,-8814980876664.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày 1 tháng 1 năm 2025,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,102.289.877.914,4.835.592.307.423,3.667.882.738,6.891.824.951,4.948.441.893.026,102289877914.0,4835592307423.0,3667882738.0,6891824951.0,4948441893026.0
Tại ngày 31 tháng 12 năm 2025,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,96.200.365.323,4.792.949.173.103,1.755.697.623,12.503.864.679,4.903.409.100.728,96200365323.0,4792949173103.0,1755697623.0,12503864679.0,4903409100728.0
