row_label_raw,row_label_full,Ông Hoàng Việt Anh,Chủ tịch,numeric__Chủ tịch
Ông Trương Gia Bình,Ông Trương Gia Bình,Ông Trương Gia Bình,Thành viên,
Ông Nguyễn Văn Khoa,Ông Nguyễn Văn Khoa,Ông Nguyễn Văn Khoa,Thành viên,
Bà Chu Thị Thanh Hà,Bà Chu Thị Thanh Hà,Bà Chu Thị Thanh Hà,Thành viên,
Ông Nguyễn Trọng Trung,Ông Nguyễn Trọng Trung,Ông Nguyễn Trọng Trung,Thành viên(từ ngày 24/12/2025),
Ông Võ Mạnh Cường,Ông Võ Mạnh Cường,Ông Võ Mạnh Cường,Thành viên(từ ngày 24/12/2025),
Ông Nguyễn Hoàng Linh,Ông Nguyễn Hoàng Linh,Ông Nguyễn Hoàng Linh,Thành viên(từ ngày 24/12/2025),
Bà Trần Thị Hồng Lĩnh,Bà Trần Thị Hồng Lĩnh,Bà Trần Thị Hồng Lĩnh,Thành viên(đến ngày 24/12/2025),
Ông Phan Thế Thành,Ông Phan Thế Thành,Ông Phan Thế Thành,Thành viên(đến ngày 24/12/2025),
