row_label_raw,row_label_full,col_0,Năm tài chính kết thúcngày 31 tháng 12 năm,Năm tài chính kết thúcngày 31 tháng 12 năm_1,numeric__Năm tài chính kết thúcngày 31 tháng 12 năm,numeric__Năm tài chính kết thúcngày 31 tháng 12 năm_1
,,,2025VND,2024VND,,
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,
Doanh thu cung cấp dịch vụ,Doanh thu > Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,15.005.224.140.551,13.570.582.229.454,15005224140551.0,13570582229454.0
Doanh thu bán hàng hóa,Doanh thu > Doanh thu bán hàng hóa,Doanh thu bán hàng hóa,120.936.599.833,126.218.757.287,120936599833.0,126218757287.0
,,,15.126.160.740.384,13.696.800.986.741,15126160740384.0,13696800986741.0
Các khoản giảm trừ,Các khoản giảm trừ,Các khoản giảm trừ,Các khoản giảm trừ,Các khoản giảm trừ,,
Các khoản giảm trừ khác,Các khoản giảm trừ > Các khoản giảm trừ khác,Các khoản giảm trừ khác,(403.634),-,-403634.0,
Doanh thu thuần về bán hàng vàcung cấp dịch vụ,Doanh thu thuần về bán hàng vàcung cấp dịch vụ,Doanh thu thuần về bán hàng vàcung cấp dịch vụ,Doanh thu thuần về bán hàng vàcung cấp dịch vụ,Doanh thu thuần về bán hàng vàcung cấp dịch vụ,,
Doanh thu thuần về cung cấp dịch vụ,Doanh thu thuần về bán hàng vàcung cấp dịch vụ > Doanh thu thuần về cung cấp dịch vụ,Doanh thu thuần về cung cấp dịch vụ,15.005.223.736.917,13.570.582.229.454,15005223736917.0,13570582229454.0
Doanh thu thuần về bán hàng hóa,Doanh thu thuần về bán hàng vàcung cấp dịch vụ > Doanh thu thuần về bán hàng hóa,Doanh thu thuần về bán hàng hóa,120.936.599.833,126.218.757.287,120936599833.0,126218757287.0
,,,15.126.160.336.750,13.696.800.986.741,15126160336750.0,13696800986741.0
