row_label_raw,row_label_full,Công ty TNHH MTV Viễn thông Quốc tế FPT,60.472.023.890,180.193.253.948,numeric__60.472.023.890,numeric__180.193.253.948
Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,6.422.476.031,6.164.619.590,6422476031.0,6164619590.0
Công ty Cổ phần Dịch vụ Trực tuyến FPT,Công ty Cổ phần Dịch vụ Trực tuyến FPT,Công ty Cổ phần Dịch vụ Trực tuyến FPT,2.118.454.508,2.118.454.508,2118454508.0,2118454508.0
Công ty TNHH Truyền hình FPT,Công ty TNHH Truyền hình FPT,Công ty TNHH Truyền hình FPT,1.340.735.560,659.720.130,1340735560.0,659720130.0
Công ty TNHH FPT IS,Công ty TNHH FPT IS,Công ty TNHH FPT IS,273.703.159,424.340.172,273703159.0,424340172.0
Công ty Cổ phần FPT,Công ty Cổ phần FPT,Công ty Cổ phần FPT,172.904.000,1.085.695.069,172904000.0,1085695069.0
Công ty Cổ phần Công nghệ Viễn thông FPT,Công ty Cổ phần Công nghệ Viễn thông FPT,Công ty Cổ phần Công nghệ Viễn thông FPT,157.685.250,-,157685250.0,
Công ty TNHH Giáo dục FPT,Công ty TNHH Giáo dục FPT,Công ty TNHH Giáo dục FPT,58.701.818,206.474.197,58701818.0,206474197.0
Công ty TNHH FPT Smart Cloud,Công ty TNHH FPT Smart Cloud,Công ty TNHH FPT Smart Cloud,14.037.276,14.037.276,14037276.0,14037276.0
Công ty TNHH Phần mềm FPT,Công ty TNHH Phần mềm FPT,Công ty TNHH Phần mềm FPT,2.200.000,3.185.800,2200000.0,3185800.0
Công ty TNHH Phân phối Synnex FPT,Công ty TNHH Phân phối Synnex FPT,Công ty TNHH Phân phối Synnex FPT,1.650.000,9.900.000,1650000.0,9900000.0
Công ty TNHH MTV Viễn thông FPT Tân Thuận,Công ty TNHH MTV Viễn thông FPT Tân Thuận,Công ty TNHH MTV Viễn thông FPT Tân Thuận,241.250,-,241250.0,
Công ty TNHH MTV Viễn thông FPT Thăng Long,Công ty TNHH MTV Viễn thông FPT Thăng Long,Công ty TNHH MTV Viễn thông FPT Thăng Long,-,8.387.404.658,,8387404658.0
