row_label_raw,row_label_full,col_0,Năm tài chính kết thúc ngày 31 tháng 12 năm > 2025 VND,Năm tài chính kết thúc ngày 31 tháng 12 năm > 2024 VND,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm > 2025 VND,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm > 2024 VND
Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,4.157.273.734.990,3.327.786.654.897,4157273734990.0,3327786654897.0
Thuế tính ở thuế suất 20% Điều chỉnh:,Thuế tính ở thuế suất 20% Điều chỉnh:,Thuế tính ở thuế suất 20% Điều chỉnh:,831.454.746.998,665.557.330.979,831454746998.0,665557330979.0
Thu nhập không chịu thuế,Thu nhập không chịu thuế,Thu nhập không chịu thuế,(119.248.291.385),(103.431.579.217),-119248291385.0,-103431579217.0
Chi phí không được khấu trừ,Chi phí không được khấu trừ,Chi phí không được khấu trừ,547.535.101,8.891.714.803,547535101.0,8891714803.0
Chênh lệch tạm thời không ghi nhận thuế TNDN hoãn lại,Chênh lệch tạm thời không ghi nhận thuế TNDN hoãn lại,Chênh lệch tạm thời không ghi nhận thuế TNDN hoãn lại,-,-,,
Dự phòng thiếu của năm trước,Chênh lệch tạm thời không ghi nhận thuế TNDN hoãn lại > Dự phòng thiếu của năm trước,Dự phòng thiếu của năm trước,194.638.233,23.295.232,194638233.0,23295232.0
Chi phí thuế TNDN (*),Chênh lệch tạm thời không ghi nhận thuế TNDN hoãn lại > Chi phí thuế TNDN (*),Chi phí thuế TNDN (*),712.948.628.947,571.040.761.797,712948628947.0,571040761797.0
Chi phí thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh,Chi phí thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh,Chi phí thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh,,,,
Thuế TNDN - hiện hành (Thuyết minh 15),Chi phí thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh > Thuế TNDN - hiện hành (Thuyết minh 15),Thuế TNDN - hiện hành (Thuyết minh 15),709.066.813.951,571.442.547.756,709066813951.0,571442547756.0
Thuế TNDN - hoãn lại (Thuyết minh 13),Chi phí thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh > Thuế TNDN - hoãn lại (Thuyết minh 13),Thuế TNDN - hoãn lại (Thuyết minh 13),3.881.814.996,(401.785.959),3881814996.0,-401785959.0
,,,712.948.628.947,571.040.761.797,712948628947.0,571040761797.0
