row_label_raw,row_label_full,Ông Trần Khương,Trường ban,numeric__Trường ban
Ông Phạm Xuân Hoàn,Ông Phạm Xuân Hoàn,Ông Phạm Xuân Hoàn,Thành viên,
Bà Lưu Nguyễn Kim Thoa,Bà Lưu Nguyễn Kim Thoa,Bà Lưu Nguyễn Kim Thoa,Thành viên(từ ngày 24/12/2025),
Ông Đỗ Xuân Phúc,Ông Đỗ Xuân Phúc,Ông Đỗ Xuân Phúc,Thành viên,
