row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Giấy phép bản quyền và quyền khai thác VND,Phần mềm máy tính VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Giấy phép bản quyền và quyền khai thác VND,numeric__Phần mềm máy tính VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Tại ngày 1.1.2025,Nguyên giá > Tại ngày 1.1.2025,Tại ngày 1.1.2025,193.641.371.451,878.695.106.238,168.723.618.018,1.241.060.095.707,193641371451.0,878695106238.0,168723618018.0,1241060095707.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,5.622.799.997,3.248.293.394,10.963.680.818,19.834.774.209,5622799997.0,3248293394.0,10963680818.0,19834774209.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,-,(119.658.808.438),600.687.095,(119.058.121.343),,-119658808438.0,600687095.0,-119058121343.0
"Thanh lý, xóa sổ","Nguyên giá > Thanh lý, xóa sổ","Thanh lý, xóa sổ",-,-,(8.223.102.031),(8.223.102.031),,,-8223102031.0,-8223102031.0
Tại ngày 31.12.2025,Nguyên giá > Tại ngày 31.12.2025,Tại ngày 31.12.2025,199.264.171.448,762.284.591.194,172.064.883.900,1.133.613.646.542,199264171448.0,762284591194.0,172064883900.0,1133613646542.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,
Tại ngày 1.1.2025,Giá trị khấu hao lũy kế > Tại ngày 1.1.2025,Tại ngày 1.1.2025,-,(481.003.159.011),(154.059.556.833),(635.062.715.844),,-481003159011.0,-154059556833.0,-635062715844.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,(34.440.838.592),(14.614.180.140),(49.055.018.732),,-34440838592.0,-14614180140.0,-49055018732.0
Phân loại lại,Giá trị khấu hao lũy kế > Phân loại lại,Phân loại lại,-,-,(219.578.230),(219.578.230),,,-219578230.0,-219578230.0
"Thanh lý, xóa sổ","Giá trị khấu hao lũy kế > Thanh lý, xóa sổ","Thanh lý, xóa sổ",-,-,8.073.164.274,8.073.164.274,,,8073164274.0,8073164274.0
Tại ngày 31.12.2025,Giá trị khấu hao lũy kế > Tại ngày 31.12.2025,Tại ngày 31.12.2025,-,(515.443.997.603),(160.820.150.929),(676.264.148.532),,-515443997603.0,-160820150929.0,-676264148532.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày 1.1.2025,Giá trị còn lại > Tại ngày 1.1.2025,Tại ngày 1.1.2025,193.641.371.451,397.691.947.227,14.664.061.185,605.997.379.863,193641371451.0,397691947227.0,14664061185.0,605997379863.0
Tại ngày 31.12.2025,Giá trị còn lại > Tại ngày 31.12.2025,Tại ngày 31.12.2025,199.264.171.448,246.840.593.591,11.244.732.971,457.349.498.010,199264171448.0,246840593591.0,11244732971.0,457349498010.0
