row_label_raw,row_label_full,col_0,col_1,Năm tài chính kết thúc ngày 31 tháng 12 năm > 2025 VND,Năm tài chính kết thúc ngày 31 tháng 12 năm > 2024 VND,numeric__col_1,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm > 2025 VND,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm > 2024 VND
iii),iii),iii),Chia cổ tức bằng cổ phiếu,,,,,
iii),iii),iii),Tổng Công ty Đầu tư và Kinh doanh Vốn,,,,,
iii),iii) > iii),iii),Nhà nước – Công ty TNHH,1.235.565.150.000,-,,1235565150000.0,
iii),iii) > iii),iii),Công ty Cổ phần FPT,1.124.305.930.000,-,,1124305930000.0,
iii),iii) > iii),iii),,2.359.871.080.000,-,,2359871080000.0,
iv),iv),iv),Chia cổ tức bằng tiền,,,,,
iv),iv),iv),Tổng Công ty Đầu tư và Kinh doanh Vốn,,,,,
iv),iv) > iv),iv),Nhà nước – Công ty TNHH,1.235.565.155.000,494.226.062.000,,1235565155000.0,494226062000.0
iv),iv) > iv),iv),Công ty Cổ phần FPT,1.124.305.935.000,449.722.374.000,,1124305935000.0,449722374000.0
iv),iv) > iv),iv),,2.359.871.090.000,943.948.436.000,,2359871090000.0,943948436000.0
v),v),v),Nhận cổ tức (Thuyết minh 26),,,,,
v),v) > v),v),Công ty TNHH MTV Viễn thông Quốc tế FPT,385.706.479.828,312.737.879.855,,385706479828.0,312737879855.0
v),v) > v),v),Công ty Cổ phần Dịch vụ Trực tuyến FPT,104.096.970.000,20.819.394.000,,104096970000.0,20819394000.0
v),v) > v),v),Công ty TNHH Truyền hình FPT,101.920.556.587,162.783.373.137,,101920556587.0,162783373137.0
v),v) > v),v),Công ty TNHH MTV Viễn thông FPT Tân Thuận,2.190.245.883,3.011.897.283,,2190245883.0,3011897283.0
v),v),v),Công ty TNHH MTV Viễn thông FPT,,,,,
v),v) > v),v),Thăng Long,1.310.193.091,3.642.309.681,,1310193091.0,3642309681.0
v),v) > v),v),Công ty Cổ phần Quản lý Quỹ Đầu tư FPT,-,8.000.000.000,,,8000000000.0
v),v) > v),v),Công ty Cổ phần Công nghệ Viễn thông FPT,-,6.163.042.129,,,6163042129.0
v),v) > v),v),,595.224.445.389,517.157.896.085,,595224445389.0,517157896085.0
vi),vi),vi),Cho vay,,,,,
vi),vi) > vi),vi),Công ty TNHH MTV Viễn thông Quốc tế FPT,947.450.148.098,6.380.984.380.223,,947450148098.0,6380984380223.0
vi),vi) > vi),vi),Công ty TNHH Truyền hình FPT,201.786.532.610,48.444.575.583,,201786532610.0,48444575583.0
vi),vi) > vi),vi),Công ty Cổ phần Công nghệ Viễn thông FPT,27.366.766.789,10.712.984.743,,27366766789.0,10712984743.0
vi),vi) > vi),vi),Công ty TNHH MTV Viễn thông FPT Tân Thuận,1.536.239.479,-,,1536239479.0,
vi),vi) > vi),vi),,1.178.139.686.976,6.440.141.940.549,,1178139686976.0,6440141940549.0
