row_label_raw,row_label_full,Số dư đầu năm > Dự phòng trích lập trong năm (Thuyết minh 29),2016 > Tại Việt NamTriệu VND > 469.952 > 354.384,2016 > Tại chi nhánh nước ngoàiTriệu VND > 3.079 > -,2016 > Tổng cộngTriệu VND > 473.031 > 354.384,2015 > Tại Việt NamTriệu VND > 101.811 > 684.287,2015 > Tại chi nhánh nước ngoàiTriệu VND > 9.320 > 15.325,2015 > Tổng cộngTriệu VND > 111.131 > 699.612,numeric__2016 > Tại Việt NamTriệu VND > 469.952 > 354.384,numeric__2016 > Tại chi nhánh nước ngoàiTriệu VND > 3.079 > -,numeric__2016 > Tổng cộngTriệu VND > 473.031 > 354.384,numeric__2015 > Tại Việt NamTriệu VND > 101.811 > 684.287,numeric__2015 > Tại chi nhánh nước ngoàiTriệu VND > 9.320 > 15.325,numeric__2015 > Tổng cộngTriệu VND > 111.131 > 699.612
Tăng do sáp nhập VVF,Tăng do sáp nhập VVF,Tăng do sáp nhập VVF,15.403,-,15.403,-,-,-,15403.0,,15403.0,,,
Giảm do tách SHB Lào thành công ty con,Giảm do tách SHB Lào thành công ty con,Giảm do tách SHB Lào thành công ty con,-,(2.628),(2.628),-,-,-,,-2628.0,-2628.0,,,
Giảm do tách SHB Campuchia thành công ty con,Giảm do tách SHB Campuchia thành công ty con,Giảm do tách SHB Campuchia thành công ty con,-,(451),(451),-,-,-,,-451.0,-451.0,,,
Sử dụng dự phòng trong năm,Sử dụng dự phòng trong năm,Sử dụng dự phòng trong năm,(167.263),-,(167.263),(316.146),(21.566),(337.712),-167263.0,,-167263.0,-316146.0,-21566.0,-337712.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,672.476,-,672.476,469.952,3.079,473.031,672476.0,,672476.0,469952.0,3079.0,473031.0
