row_label_raw,row_label_full,col_0,1/1/2016Triệu VND,Số phát sinh trong nămTriệu VND > Tăng do sáp nhập VVF,Số phát sinh trong nămTriệu VND > Phải trả,Số phát sinh trong nămTriệu VND > Giảm do tách SHB Lào và SHB Campuchia,Số đã nộp trong nămTriệu VND,31/12/2016Triệu VND,numeric__1/1/2016Triệu VND,numeric__Số phát sinh trong nămTriệu VND > Tăng do sáp nhập VVF,numeric__Số phát sinh trong nămTriệu VND > Phải trả,numeric__Số phát sinh trong nămTriệu VND > Giảm do tách SHB Lào và SHB Campuchia,numeric__Số đã nộp trong nămTriệu VND,numeric__31/12/2016Triệu VND
Thuế GTGT,Thuế GTGT,Thuế GTGT,1.183,16,94.669,-,(58.902),36.966,1183.0,16.0,94669.0,,-58902.0,36966.0
Thuế TNDN,Thuế TNDN,Thuế TNDN,63.696,(221),214.927,(9.247),(233.867),35.288,63696.0,-221.0,214927.0,-9247.0,-233867.0,35288.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,14.055,32,53.906,(6.631),(47.985),13.377,14055.0,32.0,53906.0,-6631.0,-47985.0,13377.0
,,,78.934,(173),363.502,(15.878),(340.754),85.631,78934.0,-173.0,363502.0,-15878.0,-340754.0,85631.0
Năm kết thúc ngày 31 tháng 12 năm 2015,Năm kết thúc ngày 31 tháng 12 năm 2015,Năm kết thúc ngày 31 tháng 12 năm 2015,Năm kết thúc ngày 31 tháng 12 năm 2015,Năm kết thúc ngày 31 tháng 12 năm 2015,Năm kết thúc ngày 31 tháng 12 năm 2015,Năm kết thúc ngày 31 tháng 12 năm 2015,Năm kết thúc ngày 31 tháng 12 năm 2015,Năm kết thúc ngày 31 tháng 12 năm 2015,,,,,,
,,,,1/1/2015Phải trảTriệu VND,1/1/2015Phải trảTriệu VND,Số phát sinh trong nămTriệu VND,Số đã nộp trong nămTriệu VND,31/12/2015Phải trảTriệu VND,,,,,,
Thuế GTGT,Năm kết thúc ngày 31 tháng 12 năm 2015 > Thuế GTGT,Thuế GTGT,,1.121,1.121,20.127,(20.065),1.183,,1121.0,1121.0,20127.0,-20065.0,1183.0
Thuế TNDN,Năm kết thúc ngày 31 tháng 12 năm 2015 > Thuế TNDN,Thuế TNDN,,65.876,65.876,221.641,(223.821),63.696,,65876.0,65876.0,221641.0,-223821.0,63696.0
Tạm ứng nộp thuế TNDN,Năm kết thúc ngày 31 tháng 12 năm 2015 > Tạm ứng nộp thuế TNDN,Tạm ứng nộp thuế TNDN,,(130),(130),-,130,-,,-130.0,-130.0,,130.0,
Thuế TNDN hoãn lại phải trả của chi nhánh Campuchia,Năm kết thúc ngày 31 tháng 12 năm 2015 > Thuế TNDN hoãn lại phải trả của chi nhánh Campuchia,Thuế TNDN hoãn lại phải trả của chi nhánh Campuchia,,461,461,-,(461),-,,461.0,461.0,,-461.0,
Các loại thuế khác,Năm kết thúc ngày 31 tháng 12 năm 2015 > Các loại thuế khác,Các loại thuế khác,,35.012,35.012,78.399,(99.356),14.055,,35012.0,35012.0,78399.0,-99356.0,14055.0
,,,,102.340,102.340,320.167,(343.573),78.934,,102340.0,102340.0,320167.0,-343573.0,78934.0
