row_label_raw,row_label_full,Tại 31 tháng 12 năm 2016(Triệu VND),Quá hạn > Dưới 3 tháng,Quá hạn > Trên 3 tháng,Quá hạn > Đến 1 tháng,Trong hạn > Từ 1 đến3 tháng,Trong hạn > Từ 3 đến12 tháng,Trong hạn > Từ 1 năm đến5 năm,Trong hạn > Trên 5 năm,Trong hạn > Tổng cộng,numeric__Quá hạn > Dưới 3 tháng,numeric__Quá hạn > Trên 3 tháng,numeric__Quá hạn > Đến 1 tháng,numeric__Trong hạn > Từ 1 đến3 tháng,numeric__Trong hạn > Từ 3 đến12 tháng,numeric__Trong hạn > Từ 1 năm đến5 năm,numeric__Trong hạn > Trên 5 năm,numeric__Trong hạn > Tổng cộng
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,-,-,1.249.916,-,-,-,-,1.249.916,,,1249916.0,,,,,1249916.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,-,1.880.377,-,-,-,-,1.880.377,,,1880377.0,,,,,1880377.0
Tiền gửi và cho vay các TCTD khác-gộp,Tài sản > Tiền gửi và cho vay các TCTD khác-gộp,Tiền gửi và cho vay các TCTD khác-gộp,5.137,-,18.802.507,6.812.000,3.365.000,-,-,28.984.644,5137.0,,18802507.0,6812000.0,3365000.0,,,28984644.0
Các công cụ tài chính phải sinhvà các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinhvà các tài sản tài chính khác,Các công cụ tài chính phải sinhvà các tài sản tài chính khác,-,-,45.843,-,-,-,-,45.843,,,45843.0,,,,,45843.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,2.899.017,2.243.099,10.563.500,15.351.437,54.244.479,44.690.544,26.832.101,156.824.177,2899017.0,2243099.0,10563500.0,15351437.0,54244479.0,44690544.0,26832101.0,156824177.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,150.000,-,133.682,240.974,1.453.233,15.336.115,2.914.346,20.228.350,150000.0,,133682.0,240974.0,1453233.0,15336115.0,2914346.0,20228350.0
"Góp vốn, đầu tư dài hạn - gộp","Tài sản > Góp vốn, đầu tư dài hạn - gộp","Góp vốn, đầu tư dài hạn - gộp",-,-,-,-,-,-,2.586.215,2.586.215,,,,,,,2586215.0,2586215.0
Tài sản cố định và bất động sảnđầu tư,Tài sản > Tài sản cố định và bất động sảnđầu tư,Tài sản cố định và bất động sảnđầu tư,-,-,3.468.346,44,6.013,165.154,287.806,3.927.363,,,3468346.0,44.0,6013.0,165154.0,287806.0,3927363.0
Tài sản có khác - gộp,Tài sản > Tài sản có khác - gộp,Tài sản có khác - gộp,1.034.295,-,18.877.871,7.556,60.629,665.279,5.255,20.650.885,1034295.0,,18877871.0,7556.0,60629.0,665279.0,5255.0,20650885.0
,,,4.088.449,2.243.099,55.022.042,22.412.011,59.129.354,60.857.092,32.625.723,236.377.770,4088449.0,2243099.0,55022042.0,22412011.0,59129354.0,60857092.0,32625723.0,236377770.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,
Nợ phải trả NHNNVN và cácTCTD khác,Nợ phải trả > Nợ phải trả NHNNVN và cácTCTD khác,Nợ phải trả NHNNVN và cácTCTD khác,-,-,20.474.674,9.548.620,5.119.012,277.837,5.972,35.426.115,,,20474674.0,9548620.0,5119012.0,277837.0,5972.0,35426115.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,57.022.486,37.105.966,67.063.468,4.700.911,2.819,165.895.650,,,57022486.0,37105966.0,67063468.0,4700911.0,2819.0,165895650.0
"Vốn tải trợ, ủy thác đầu tư, cho vayTCTD chịu rủi ro","Nợ phải trả > Vốn tải trợ, ủy thác đầu tư, cho vayTCTD chịu rủi ro","Vốn tải trợ, ủy thác đầu tư, cho vayTCTD chịu rủi ro",-,-,9.041,16.126,104.254,321.735,357.731,808.887,,,9041.0,16126.0,104254.0,321735.0,357731.0,808887.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,1.901.785,244.268,8.620.909,-,3.000.713,13.767.675,,,1901785.0,244268.0,8620909.0,,3000713.0,13767675.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,4.129.201,-,-,-,-,4.129.201,,,4129201.0,,,,,4129201.0
,,,-,-,83.537.187,46.914.980,80.907.643,5.300.483,3.367.235,220.027.528,,,83537187.0,46914980.0,80907643.0,5300483.0,3367235.0,220027528.0
Mức chênh thanh khoản ròng,Nợ phải trả > Mức chênh thanh khoản ròng,Mức chênh thanh khoản ròng,4.088.449,2.243.099,(28.515.145),(24.502.969),(21.778.289),55.556.609,29.258.488,16.350.242,4088449.0,2243099.0,-28515145.0,-24502969.0,-21778289.0,55556609.0,29258488.0,16350242.0
