row_label_raw,row_label_full,"Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2016 (tiếp theo)","Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2016 (tiếp theo)_1","Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2016 (tiếp theo)_2","Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2016 (tiếp theo)_3","Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2016 (tiếp theo)_4","Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2016 (tiếp theo)_5","numeric__Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2016 (tiếp theo)_1","numeric__Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2016 (tiếp theo)_2","numeric__Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2016 (tiếp theo)_3","numeric__Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2016 (tiếp theo)_4","numeric__Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2016 (tiếp theo)_5"
,,,VND,USD,EUR,Tiền tệ khác,Tổng cộng,,,,,
Tại ngày 31 tháng 12 năm 2015(Triệu VND),Tại ngày 31 tháng 12 năm 2015(Triệu VND),Tại ngày 31 tháng 12 năm 2015(Triệu VND),,,,,,,,,,
Tài sản,Tài sản,Tài sản,,,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,1.588.795,268.258,31.112,29.621,1.917.786,1588795.0,268258.0,31112.0,29621.0,1917786.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,1.209.245,2.280.098,-,873.175,4.362.518,1209245.0,2280098.0,,873175.0,4362518.0
Tiền gửi và cho vay các TCTD khác - gộp,Tài sản > Tiền gửi và cho vay các TCTD khác - gộp,Tiền gửi và cho vay các TCTD khác - gộp,24.102.081,4.825.705,491.924,308.987,29.728.697,24102081.0,4825705.0,491924.0,308987.0,29728697.0
Chứng khoán kinh doanh - gộp,Tài sản > Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,(3.333.287),3.333.287,-,-,-,-3333287.0,3333287.0,,,
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,121.144.095,10.153.256,15.045,132.562,131.444.958,121144095.0,10153256.0,15045.0,132562.0,131444958.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,17.879.376,-,-,-,17.879.376,17879376.0,,,,17879376.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,466.107,-,-,-,466.107,466107.0,,,,466107.0
"Góp vốn, đầu tư dài hạn","Tài sản > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",4.030.915,20.178,-,3.888,4.054.981,4030915.0,20178.0,,3888.0,4054981.0
Tài sản cố định và bất động sản đầu tư,Tài sản > Tài sản cố định và bất động sản đầu tư,Tài sản cố định và bất động sản đầu tư,15.117.221,1.578.094,-,29.178,16.724.493,15117221.0,1578094.0,,29178.0,16724493.0
Tài sản có khác - gộp,Tài sản có khác - gộp,Tài sản có khác - gộp,,,,,,,,,,
,,,182.204.548,22.458.876,538.081,1.377.411,206.578.916,182204548.0,22458876.0,538081.0,1377411.0,206578916.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,
Nợ phải trả NHNNVN và vay các TCTD khác,Nợ phải trả > Nợ phải trả NHNNVN và vay các TCTD khác,Nợ phải trả NHNNVN và vay các TCTD khác,27.711.298,4.659.400,-,-,32.370.698,27711298.0,4659400.0,,,32370698.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,131.126.248,16.956.641,535.254,239.939,148.858.082,131126248.0,16956641.0,535254.0,239939.0,148858082.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,70.130,-,576,29.305,100.011,70130.0,,576.0,29305.0,100011.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",414.632,-,-,-,414.632,414632.0,,,,414632.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,8.217.648,-,-,-,8.217.648,8217648.0,,,,8217648.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,2.513.115,63.962,3.234,820.898,3.401.209,2513115.0,63962.0,3234.0,820898.0,3401209.0
Vốn và các quỹ,Nợ phải trả > Vốn và các quỹ,Vốn và các quỹ,11.204.960,-,-,-,11.204.960,11204960.0,,,,11204960.0
,,,181.258.031,21.680.003,539.064,1.090.142,204.567.240,181258031.0,21680003.0,539064.0,1090142.0,204567240.0
Trạng thái tiền tệ nội bằng,Nợ phải trả > Trạng thái tiền tệ nội bằng,Trạng thái tiền tệ nội bằng,946.517,778.873,(983),287.269,2.011.676,946517.0,778873.0,-983.0,287269.0,2011676.0
