row_label_raw,row_label_full,col_0,Vốn điều lệ,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Quỹ dự phòng tài chính,Quỹ dự trữ bổ sung vốn điều lệ,Quỹ khác,Lợi nhuận chưa phân phối,Tổng cộng,numeric__Vốn điều lệ,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Quỹ dự phòng tài chính,numeric__Quỹ dự trữ bổ sung vốn điều lệ,numeric__Quỹ khác,numeric__Lợi nhuận chưa phân phối,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,
Số dư tại ngày 1 tháng 1 năm 2016,Số dư tại ngày 1 tháng 1 năm 2016,Số dư tại ngày 1 tháng 1 năm 2016,9.485.945,101.716,(5.260),20.013,554.354,249.122,-,799.070,11.204.960,9485945.0,101716.0,-5260.0,20013.0,554354.0,249122.0,,799070.0,11204960.0
Phát hành cổ phiếu đề chi trả cổ tức,Phát hành cổ phiếu đề chi trả cổ tức,Phát hành cổ phiếu đề chi trả cổ tức,710.946,-,-,-,-,-,-,(710.946),-,710946.0,,,,,,,-710946.0,
Lợi nhuận thuần trong kỳ,Lợi nhuận thuần trong kỳ,Lợi nhuận thuần trong kỳ,-,-,-,-,-,-,-,861.791,861.791,,,,,,,,861791.0,861791.0
Tăng do sáp nhập VVF (*),Tăng do sáp nhập VVF (*),Tăng do sáp nhập VVF (*),1.000.000,-,-,-,31.938,16.307,1.022,27.546,1.076.813,1000000.0,,,,31938.0,16307.0,1022.0,27546.0,1076813.0
Giảm do tách SHB Lào thành công ty con,Giảm do tách SHB Lào thành công ty con,Giảm do tách SHB Lào thành công ty con,-,-,-,-,-,(2.861),-,(1.799),(4.660),,,,,,-2861.0,,-1799.0,-4660.0
Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,-,-,-,-,-,-,-,(15.901),(15.901),,,,,,,,-15901.0,-15901.0
Tạm trích quỹ của Ngân hàng,Tạm trích quỹ của Ngân hàng,Tạm trích quỹ của Ngân hàng,-,-,-,-,81.870,43.090,-,(124.960),-,,,,,81870.0,43090.0,,-124960.0,
Số dư tại ngày 31 tháng 12 năm 2016,Số dư tại ngày 31 tháng 12 năm 2016,Số dư tại ngày 31 tháng 12 năm 2016,11.196.891,101.716,(5.260),20.013,668.162,305.658,1.022,834.801,13.123.003,11196891.0,101716.0,-5260.0,20013.0,668162.0,305658.0,1022.0,834801.0,13123003.0
Số dư tại ngày 1 tháng 1 năm 2015,Số dư tại ngày 1 tháng 1 năm 2015,Số dư tại ngày 1 tháng 1 năm 2015,8.865.795,101.716,(5.260),13,483.157,210.974,-,774.126,10.430.521,8865795.0,101716.0,-5260.0,13.0,483157.0,210974.0,,774126.0,10430521.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,-,794.644,794.644,,,,,,,,794644.0,794644.0
Thuế giữ lại của SHB Campuchia,Thuế giữ lại của SHB Campuchia,Thuế giữ lại của SHB Campuchia,-,-,-,-,-,-,-,(6.276),(6.276),,,,,,,,-6276.0,-6276.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,20.000,-,-,-,(20.000),-,,,,20000.0,,,,-20000.0,
Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,-,-,-,-,-,-,-,(15.426),(15.426),,,,,,,,-15426.0,-15426.0
Tăng vốn từ trả cổ tức bằng cổ phiếu,Tăng vốn từ trả cổ tức bằng cổ phiếu,Tăng vốn từ trả cổ tức bằng cổ phiếu,620.150,-,-,-,-,-,-,(620.150),-,620150.0,,,,,,,-620150.0,
Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,-,-,-,-,-,-,-,1.497,1.497,,,,,,,,1497.0,1497.0
Tạm trích quỹ của Ngân hàng,Tạm trích quỹ của Ngân hàng,Tạm trích quỹ của Ngân hàng,-,-,-,-,71.197,38.148,-,(109.345),-,,,,,71197.0,38148.0,,-109345.0,
Số dư tại ngày 31 tháng 12 năm 2015,Số dư tại ngày 31 tháng 12 năm 2015,Số dư tại ngày 31 tháng 12 năm 2015,9.485.945,101.716,(5.260),20.013,554.354,249.122,-,799.070,11.204.960,9485945.0,101716.0,-5260.0,20013.0,554354.0,249122.0,,799070.0,11204960.0
