row_label_raw,row_label_full,"Ngân hàng Thương mại Cõ phân Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2016 (tiếp theo) > Tại 31 tháng 12 năm 2015(Triệu VND)","Ngân hàng Thương mại Cõ phân Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2016 (tiếp theo) > Quá hạn","Ngân hàng Thương mại Cõ phân Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2016 (tiếp theo) > Khônghuống lãi","Ngân hàng Thương mại Cõ phân Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2016 (tiếp theo) > Dưới1 tháng","Ngân hàng Thương mại Cõ phân Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2016 (tiếp theo) > Từ 1 đến3 tháng","Ngân hàng Thương mại Cõ phân Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2016 (tiếp theo) > Từ 3 đến6 tháng","Ngân hàng Thương mại Cõ phân Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2016 (tiếp theo) > Từ 6 đến12 tháng","Ngân hàng Thương mại Cõ phân Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2016 (tiếp theo) > Từ 1 đến5 năm","Ngân hàng Thương mại Cõ phân Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2016 (tiếp theo) > Trên 5 năm","Ngân hàng Thương mại Cõ phân Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2016 (tiếp theo) > Tổng cộng","numeric__Ngân hàng Thương mại Cõ phân Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2016 (tiếp theo) > Quá hạn","numeric__Ngân hàng Thương mại Cõ phân Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2016 (tiếp theo) > Khônghuống lãi","numeric__Ngân hàng Thương mại Cõ phân Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2016 (tiếp theo) > Dưới1 tháng","numeric__Ngân hàng Thương mại Cõ phân Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2016 (tiếp theo) > Từ 1 đến3 tháng","numeric__Ngân hàng Thương mại Cõ phân Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2016 (tiếp theo) > Từ 3 đến6 tháng","numeric__Ngân hàng Thương mại Cõ phân Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2016 (tiếp theo) > Từ 6 đến12 tháng","numeric__Ngân hàng Thương mại Cõ phân Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2016 (tiếp theo) > Từ 1 đến5 năm","numeric__Ngân hàng Thương mại Cõ phân Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2016 (tiếp theo) > Trên 5 năm","numeric__Ngân hàng Thương mại Cõ phân Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2016 (tiếp theo) > Tổng cộng"
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,-,1.917.786,-,-,-,-,-,-,1.917.786,,1917786.0,,,,,,,1917786.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,4.362.518,-,-,-,-,-,-,4.362.518,,4362518.0,,,,,,,4362518.0
Tiền gửi và cho vaycác TCTD khác - gộp,Tài sản > Tiền gửi và cho vaycác TCTD khác - gộp,Tiền gửi và cho vaycác TCTD khác - gộp,5.137,-,22.957.060,5.673.500,1.093.000,-,-,-,29.728.697,5137.0,,22957060.0,5673500.0,1093000.0,,,,29728697.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,4.186.759,-,40.726.989,66.695.375,14.226.782,2.086.569,3.293.484,229.000,131.444.958,4186759.0,,40726989.0,66695375.0,14226782.0,2086569.0,3293484.0,229000.0,131444958.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,-,7.047.986,200.428,1.392.520,831.835,1.369.300,4.500.344,2.536.963,17.879.376,,7047986.0,200428.0,1392520.0,831835.0,1369300.0,4500344.0,2536963.0,17879376.0
"Gộp vốn, đầu tư dài hạn","Tài sản > Gộp vốn, đầu tư dài hạn","Gộp vốn, đầu tư dài hạn",-,466.107,-,-,-,-,-,-,466.107,,466107.0,,,,,,,466107.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,4.054.981,-,-,-,-,-,-,4.054.981,,4054981.0,,,,,,,4054981.0
Tài sản có khác - gộp,Tài sản > Tài sản có khác - gộp,Tài sản có khác - gộp,1.048.584,15.675.909,-,-,-,-,-,-,16.724.493,1048584.0,15675909.0,,,,,,,16724493.0
,,,5.240.480,33.525.287,63.884.477,73.761.395,16.151.617,3.455.869,7.793.828,2.765.963,206.578.916,5240480.0,33525287.0,63884477.0,73761395.0,16151617.0,3455869.0,7793828.0,2765963.0,206578916.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,,,
Nợ phải trả NHNNVNvà các TCTD khác,Nợ phải trả > Nợ phải trả NHNNVNvà các TCTD khác,Nợ phải trả NHNNVNvà các TCTD khác,-,-,23.074.792,8.730.087,515.000,44.071,1.998,4.750,32.370.698,,,23074792.0,8730087.0,515000.0,44071.0,1998.0,4750.0,32370698.0
Tiền gửi của khách hàngCác công cụ tài chínhphải sinh và các khoảnnợ tài chính khác,Nợ phải trả > Tiền gửi của khách hàngCác công cụ tài chínhphải sinh và các khoảnnợ tài chính khác,Tiền gửi của khách hàngCác công cụ tài chínhphải sinh và các khoảnnợ tài chính khác,-,-,54.991.218,32.391.676,31.919.053,25.205.754,4.348.147,2.234,148.858.082,,,54991218.0,32391676.0,31919053.0,25205754.0,4348147.0,2234.0,148858082.0
"Vốn tài trợ, ủy thác đàutư, cho vay mà TCTDchịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đàutư, cho vay mà TCTDchịu rủi ro","Vốn tài trợ, ủy thác đàutư, cho vay mà TCTDchịu rủi ro",-,100.011,-,-,-,-,-,-,100.011,,100011.0,,,,,,,100011.0
Phát hành giấy tờ có giáCác khoản nợ khác,Nợ phải trả > Phát hành giấy tờ có giáCác khoản nợ khác,Phát hành giấy tờ có giáCác khoản nợ khác,-,-,6.091,12.054,384.146,-,12.341,-,414.632,,,6091.0,12054.0,384146.0,,12341.0,,414632.0
Phát hành giấy tờ có giáCác khoản nợ khác,Nợ phải trả > Phát hành giấy tờ có giáCác khoản nợ khác,Phát hành giấy tờ có giáCác khoản nợ khác,-,-,-,1.670.000,472.693,3.879.942,1.195.013,1.000.000,8.217.648,,,,1670000.0,472693.0,3879942.0,1195013.0,1000000.0,8217648.0
Phát hành giấy tờ có giáCác khoản nợ khác,Nợ phải trả > Phát hành giấy tờ có giáCác khoản nợ khác,Phát hành giấy tờ có giáCác khoản nợ khác,-,3.401.209,-,-,-,-,-,-,3.401.209,,3401209.0,,,,,,,3401209.0
,,,-,3.501.220,78.072.101,42.803.817,33.290.892,29.129.767,5.557.499,1.006.984,193.362.280,,3501220.0,78072101.0,42803817.0,33290892.0,29129767.0,5557499.0,1006984.0,193362280.0
Mức chênh nhạy cảmvới lãi suất,Nợ phải trả > Mức chênh nhạy cảmvới lãi suất,Mức chênh nhạy cảmvới lãi suất,5.240.480,30.024.067,(14.187.624),30.957.578,(17.139.275),(25.673.898),2.236.329,1.758.979,13.216.636,5240480.0,30024067.0,-14187624.0,30957578.0,-17139275.0,-25673898.0,2236329.0,1758979.0,13216636.0
