row_label_raw,row_label_full,col_0,Quyền sử dụng đấtTriệu VND,Phần mềm máy vi tínhTriệu VND,Tài sân cố định vô hình khácTriệu VND,Tổng cộngTriệu VND,numeric__Quyền sử dụng đấtTriệu VND,numeric__Phần mềm máy vi tínhTriệu VND,numeric__Tài sân cố định vô hình khácTriệu VND,numeric__Tổng cộngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư tại ngày 1 tháng 1 năm 2016,Nguyên giá > Số dư tại ngày 1 tháng 1 năm 2016,Số dư tại ngày 1 tháng 1 năm 2016,3.629.594,173.578,35.054,3.838.226,3629594.0,173578.0,35054.0,3838226.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,5.356,21.678,-,27.034,5356.0,21678.0,,27034.0
Tăng do sáp nhập VVF,Nguyên giá > Tăng do sáp nhập VVF,Tăng do sáp nhập VVF,-,2.756,-,2.756,,2756.0,,2756.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(156.032),-,-,(156.032),-156032.0,,,-156032.0
Giảm do tách SHB Lào thành công ty con,Nguyên giá > Giảm do tách SHB Lào thành công ty con,Giảm do tách SHB Lào thành công ty con,-,(5.428),(1.944),(7.372),,-5428.0,-1944.0,-7372.0
Biến động khác,Nguyên giá > Biến động khác,Biến động khác,(38),-,-,(38),-38.0,,,-38.0
Số dư tại ngày 31 tháng 12 năm 2016,Nguyên giá > Số dư tại ngày 31 tháng 12 năm 2016,Số dư tại ngày 31 tháng 12 năm 2016,3.478.880,192.584,33.110,3.704.574,3478880.0,192584.0,33110.0,3704574.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,
Số dư tại ngày 1 tháng 1 năm 2016,Hao mòn lũy kế > Số dư tại ngày 1 tháng 1 năm 2016,Số dư tại ngày 1 tháng 1 năm 2016,5.489,121.459,16.606,143.554,5489.0,121459.0,16606.0,143554.0
Khấu hao trong năm,Hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,158,26.776,3.218,30.152,158.0,26776.0,3218.0,30152.0
Tăng do sáp nhập VVF,Hao mòn lũy kế > Tăng do sáp nhập VVF,Tăng do sáp nhập VVF,-,1.709,-,1.709,,1709.0,,1709.0
Giảm do tách SHB Lào thành công ty con,Hao mòn lũy kế > Giảm do tách SHB Lào thành công ty con,Giảm do tách SHB Lào thành công ty con,-,(3.669),(1.943),(5.612),,-3669.0,-1943.0,-5612.0
Số dư tại ngày 31 tháng 12 năm 2016,Hao mòn lũy kế > Số dư tại ngày 31 tháng 12 năm 2016,Số dư tại ngày 31 tháng 12 năm 2016,5.647,146.275,17.881,169.803,5647.0,146275.0,17881.0,169803.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư tại ngày 1 tháng 1 năm 2016,Giá trị còn lại > Số dư tại ngày 1 tháng 1 năm 2016,Số dư tại ngày 1 tháng 1 năm 2016,3.624.105,52.119,18.448,3.694.672,3624105.0,52119.0,18448.0,3694672.0
Số dư tại ngày 31 tháng 12 năm 2016,Giá trị còn lại > Số dư tại ngày 31 tháng 12 năm 2016,Số dư tại ngày 31 tháng 12 năm 2016,3.473.233,46.309,15.229,3.534.771,3473233.0,46309.0,15229.0,3534771.0
