row_label_raw,row_label_full,Khoản mục,Quyền sử dụng đất VND,Phần mềm máy tính VND,Khác VND,Cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm máy tính VND,numeric__Khác VND,numeric__Cộng VND
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Tại ngày 01/01/2025,Nguyên giá: > Tại ngày 01/01/2025,Tại ngày 01/01/2025,496.459.318.087,17.399.677.048,2.994.843.027,516.853.838.162,496459318087.0,17399677048.0,2994843027.0,516853838162.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,-,978.617.000,-,978.617.000,,978617000.0,,978617000.0
Giảm do ngừng hợp nhất,Nguyên giá: > Giảm do ngừng hợp nhất,Giảm do ngừng hợp nhất,-,(179.296.027),(180.000.000),(359.296.027),,-179296027.0,-180000000.0,-359296027.0
Tại ngày 31/12/2025,Nguyên giá: > Tại ngày 31/12/2025,Tại ngày 31/12/2025,496.459.318.087,18.198.998.021,2.814.843.027,517.473.159.135,496459318087.0,18198998021.0,2814843027.0,517473159135.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,
Tại ngày 01/01/2025,Giá trị hao mòn lũy kế: > Tại ngày 01/01/2025,Tại ngày 01/01/2025,146.326.572.272,12.287.851.343,2.136.921.393,160.751.345.008,146326572272.0,12287851343.0,2136921393.0,160751345008.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế: > Khẩu hao trong năm,Khẩu hao trong năm,9.836.019.833,1.059.113.903,57.232.920,10.952.366.656,9836019833.0,1059113903.0,57232920.0,10952366656.0
Giảm do ngừng hợp nhất,Giá trị hao mòn lũy kế: > Giảm do ngừng hợp nhất,Giảm do ngừng hợp nhất,-,(131.796.014),(180.000.000),(311.796.014),,-131796014.0,-180000000.0,-311796014.0
Tại ngày 31/12/2025,Giá trị hao mòn lũy kế: > Tại ngày 31/12/2025,Tại ngày 31/12/2025,156.162.592.105,13.215.169.232,2.014.154.313,171.391.915.650,156162592105.0,13215169232.0,2014154313.0,171391915650.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Tại ngày 01/01/2025,Giá trị còn lại: > Tại ngày 01/01/2025,Tại ngày 01/01/2025,350.132.745.815,5.111.825.705,857.921.634,356.102.493.154,350132745815.0,5111825705.0,857921634.0,356102493154.0
Tại ngày 31/12/2025,Giá trị còn lại: > Tại ngày 31/12/2025,Tại ngày 31/12/2025,340.296.725.982,4.983.828.789,800.688.714,346.081.243.485,340296725982.0,4983828789.0,800688714.0,346081243485.0
