row_label_raw,row_label_full,STT,Tên công ty,Ngành nghề hoạt động chính,Địa chỉ,Tỷ lệ quyền biểu quyết,Tỷ lệ vốn góp,Tỷ lệ lợi ích,numeric__Tên công ty,numeric__Ngành nghề hoạt động chính,numeric__Địa chỉ,numeric__Tỷ lệ quyền biểu quyết,numeric__Tỷ lệ vốn góp,numeric__Tỷ lệ lợi ích
1.,1.,1.,Công ty Cổ phần Dịch vụ Cắng Đồng Nai,Vận tải hàng hóa ven biển và viễn dương,"Số 1B - D3, khu phố Bình Dương, phường Long Hưng, tỉnh Đồng Nai, Việt Nam","45,00%","45,00%","22,95%",,,,0.45,0.45,0.22949999999999998
2.,2.,2.,Công ty Cổ phần Dịch vụ và Xây dựng Cấp Nước Đồng Nai,Xây dựng công trình kỹ thuật dân dụng,"Số 52, Đường Cách Mạng Thắng Tám, phường Trấn Biên, tỉnh Đồng Nai, Việt Nam","36,00%","36,00%","23,04%",,,,0.36,0.36,0.2304
3.,3.,3.,Công ty Cổ phần Cắng Long Thành,Hoạt động dịch vụ hỗ trợ khác liên quan đến vận tải,"Cảng Gò Dầu A, xã Phước Thái, tỉnh Đồng Nai, Việt Nam","30,00%","30,00%","15,30%",,,,0.3,0.3,0.153
4.,4.,4.,Công ty Cổ phần BOT 319 Cường Thuận CTI,Xây dựng công trình đường sắt và đường bộ,"Số 315, Đường Võ Nguyên Giáp, phường Phước Tân, tỉnh Đồng Nai, Việt Nam","30,00%","30,00%","19,58%",,,,0.3,0.3,0.19579999999999997
