row_label_raw,row_label_full,col_0,Tại ngày 01/01/2025 VND,Tại ngày 01/01/2025 VND_1,Trong năm VND,Trong năm VND_1,Trong năm VND_2,Tại ngày 31/12/2025 VND,Tại ngày 31/12/2025 VND_1,numeric__Tại ngày 01/01/2025 VND,numeric__Tại ngày 01/01/2025 VND_1,numeric__Trong năm VND,numeric__Trong năm VND_1,numeric__Trong năm VND_2,numeric__Tại ngày 31/12/2025 VND,numeric__Tại ngày 31/12/2025 VND_1
,,,Phải thu,Phải nộp,Phải nộp,Đã nộp,Giảm do ngừng hợp nhất,Phải thu,Phải nộp,,,,,,,
Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,3.216.284.955,7.320.648.188,184.771.760.151,(172.507.084.129),(208.304.882),52.667.406,16.213.401.779,3216284955.0,7320648188.0,184771760151.0,-172507084129.0,-208304882.0,52667406.0,16213401779.0
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,1.143.816.148,128.611.077.895,428.056.870.074,(435.834.460.842),751.256.383,2.346.261.401,122.787.188.763,1143816148.0,128611077895.0,428056870074.0,-435834460842.0,751256383.0,2346261401.0,122787188763.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,116.357.565,5.216.884.065,60.813.735.162,(58.016.542.878),(5.183.000),94.251.357,7.986.787.141,116357565.0,5216884065.0,60813735162.0,-58016542878.0,-5183000.0,94251357.0,7986787141.0
Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,-,792.052.856,8.709.175.779,(8.912.737.841),-,-,588.490.794,,792052856.0,8709175779.0,-8912737841.0,,,588490794.0
Thuế tài nguyên,Thuế tài nguyên,Thuế tài nguyên,-,3.860.972.847,21.779.188.487,(20.888.511.307),(572.408.133),-,4.179.241.894,,3860972847.0,21779188487.0,-20888511307.0,-572408133.0,,4179241894.0
"Tiền thuê đất, thuê đất phi nông nghiệp","Tiền thuê đất, thuê đất phi nông nghiệp","Tiền thuê đất, thuê đất phi nông nghiệp",30.235.800,1.093.966.188,53.710.276.039,(72.016.164.755),-,18.000.117.157,757.958.829,30235800.0,1093966188.0,53710276039.0,-72016164755.0,,18000117157.0,757958829.0
"Phí, lệ phí Các khoản","Phí, lệ phí Các khoản","Phí, lệ phí Các khoản",-,7.265.898.945,3.245.833.897,(7.917.612.335),(2.143.689.275),-,450.431.232,,7265898945.0,3245833897.0,-7917612335.0,-2143689275.0,,450431232.0
phải nộp ngân sách khác,phải nộp ngân sách khác,phải nộp ngân sách khác,21.220.605,4.633.814.529,100.455.817.041,(97.327.555.023),-,2.115.650.377,9.856.506.319,21220605.0,4633814529.0,100455817041.0,-97327555023.0,,2115650377.0,9856506319.0
Cộng,Cộng,Cộng,4.527.915.073,158.795.315.513,861.542.656.630,(873.420.669.110),(2.178.328.907),22.608.947.698,162.820.006.751,4527915073.0,158795315513.0,861542656630.0,-873420669110.0,-2178328907.0,22608947698.0,162820006751.0
