row_label_raw,row_label_full,col_0,Tại ngày 31/12/2025VND,Tại ngày 31/12/2025VND_1,Tại ngày 01/01/2025VND,Tại ngày 01/01/2025VND_1,numeric__Tại ngày 31/12/2025VND,numeric__Tại ngày 31/12/2025VND_1,numeric__Tại ngày 01/01/2025VND,numeric__Tại ngày 01/01/2025VND_1
,,,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
"Nguyên liệu, vật liệu","Nguyên liệu, vật liệu","Nguyên liệu, vật liệu",50.147.456.930,(320.352.458),49.741.199.331,(387.980.858),50147456930.0,-320352458.0,49741199331.0,-387980858.0
"Công cụ, dụng cụ","Công cụ, dụng cụ","Công cụ, dụng cụ",3.481.895.724,-,6.512.908.271,-,3481895724.0,,6512908271.0,
Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,2.165.498.942.895,(1.493.081.830),2.100.583.025.274,(1.493.081.830),2165498942895.0,-1493081830.0,2100583025274.0,-1493081830.0
"Dự án Khu công nghiệp, Khu đô thị Châu Đức","Dự án Khu công nghiệp, Khu đô thị Châu Đức","Dự án Khu công nghiệp, Khu đô thị Châu Đức",1.579.192.529.032,-,1.512.856.063.865,-,1579192529032.0,,1512856063865.0,
Dự án khu dân cư Hữu Phước,Dự án khu dân cư Hữu Phước,Dự án khu dân cư Hữu Phước,238.466.167.811,-,204.710.109.807,-,238466167811.0,,204710109807.0,
Các dự án khác,Các dự án khác,Các dự án khác,347.840.246.052,(1.493.081.830),383.016.851.602,(1.493.081.830),347840246052.0,-1493081830.0,383016851602.0,-1493081830.0
Thành phẩm,Thành phẩm,Thành phẩm,47.775.021.678,-,55.471.886.663,-,47775021678.0,,55471886663.0,
Hàng hóa,Hàng hóa,Hàng hóa,2.656.688.320,-,2.598.811.503,-,2656688320.0,,2598811503.0,
Cộng,Cộng,Cộng,2.269.560.005.547,(1.813.434.288),2.214.907.831.042,(1.881.062.688),2269560005547.0,-1813434288.0,2214907831042.0,-1881062688.0
