row_label_raw,row_label_full,CHÌ TIÊU,Mã số,col_2,Năm 2025,Năm 2024,numeric__Mã số,numeric__col_2,numeric__Năm 2025,numeric__Năm 2024
III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,
"1. Tiền thu từ phát hành cổ phiếu,nhận vốn góp của chủ sở hữu","III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 1. Tiền thu từ phát hành cổ phiếu,nhận vốn góp của chủ sở hữu","1. Tiền thu từ phát hành cổ phiếu,nhận vốn góp của chủ sở hữu",31,,241.963.856.111,579.937.920.000,31.0,,241963856111.0,579937920000.0
2. Tiền thu từ đi vay,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 2. Tiền thu từ đi vay,2. Tiền thu từ đi vay,33,6.1,1.566.472.659.754,1.754.550.440.558,33.0,61.0,1566472659754.0,1754550440558.0
3. Tiền trả nợ gốc vay,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 3. Tiền trả nợ gốc vay,3. Tiền trả nợ gốc vay,34,6.2,(1.499.689.182.053),(2.511.032.738.048),34.0,62.0,-1499689182053.0,-2511032738048.0
"4. Cổ tức, lợi nhuận đã trả cho chủ sở hữu","III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 4. Cổ tức, lợi nhuận đã trả cho chủ sở hữu","4. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,,(925.885.281.900),(791.305.662.150),36.0,,-925885281900.0,-791305662150.0
Lưu chuyển tiền thuần từ hoạt động tài chính,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,40,,(617.137.948.088),(967.850.039.640),40.0,,-617137948088.0,-967850039640.0
LƯU CHUYÊN THUẦN TRONG NĂM(50 = 20+30+40),III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > LƯU CHUYÊN THUẦN TRONG NĂM(50 = 20+30+40),LƯU CHUYÊN THUẦN TRONG NĂM(50 = 20+30+40),50,,(237.999.091.472),448.714.066.322,50.0,,-237999091472.0,448714066322.0
Tiền và tương đương tiền đầu năm,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và tương đương tiền đầu năm,Tiền và tương đương tiền đầu năm,60,,1.599.779.077.056,1.150.835.471.673,60.0,,1599779077056.0,1150835471673.0
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,,304.988.814,229.539.061,61.0,,304988814.0,229539061.0
TIỀN VÀ TƯƠNG ĐƯƠNG TIỀN CUỐI NĂM(70 = 50+60+61),III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > TIỀN VÀ TƯƠNG ĐƯƠNG TIỀN CUỐI NĂM(70 = 50+60+61),TIỀN VÀ TƯƠNG ĐƯƠNG TIỀN CUỐI NĂM(70 = 50+60+61),70,4.1,1.362.084.974.398,1.599.779.077.056,70.0,41.0,1362084974398.0,1599779077056.0
