row_label_raw,row_label_full,Tên,Chức vụ,Năm 2025 VND,Năm 2024 VND,numeric__Chức vụ,numeric__Năm 2025 VND,numeric__Năm 2024 VND
Ông Trương Đình Hiệp,Ông Trương Đình Hiệp,Ông Trương Đình Hiệp,Chủ tịch Hội đồng quản trị,1.227.113.000,1.534.762.482,,1227113000.0,1534762482.0
Bà Đỗ Thị Thu Hằng,Bà Đỗ Thị Thu Hằng,Bà Đỗ Thị Thu Hằng,Chủ tịch Hội đồng quản trị (miễn nhiệm ngày 16/04/2024),-,461.939.500,,,461939500.0
Ông Trần Thanh Hải,Ông Trần Thanh Hải,Ông Trần Thanh Hải,Thành viên Hội đồng quản trị kiểm Tổng Giám đốc,1.421.095.000,1.645.250.323,,1421095000.0,1645250323.0
Ông Đình Ngọc Thuận,Ông Đình Ngọc Thuận,Ông Đình Ngọc Thuận,Thành viên Hội đồng quản trị kiểm Phó Tổng Giám đốc,1.245.275.000,1.497.734.674,,1245275000.0,1497734674.0
Bà Nguyễn Thị Hạnh,Bà Nguyễn Thị Hạnh,Bà Nguyễn Thị Hạnh,Thành viên Hội đồng quản trị kiểm Phó Tổng Giám đốc,1.239.546.000,1.432.604.786,,1239546000.0,1432604786.0
Bà Lương Minh Hiền,Bà Lương Minh Hiền,Bà Lương Minh Hiền,Thành viên Hội đồng quản trị kiểm Phó Tổng Giám đốc,1.182.969.000,1.379.088.877,,1182969000.0,1379088877.0
Ông Nguyễn Văn Tuấn,Ông Nguyễn Văn Tuấn,Ông Nguyễn Văn Tuấn,Thành viên Hội đồng quản trị,199.114.000,269.474.233,,199114000.0,269474233.0
Ông Phạm Quốc Chí,Ông Phạm Quốc Chí,Ông Phạm Quốc Chí,Thành viên Hội đồng quản trị,199.114.000,269.474.233,,199114000.0,269474233.0
Bà Lê Thị Bích Loan,Bà Lê Thị Bích Loan,Bà Lê Thị Bích Loan,Kế toán trưởng,812.495.000,811.411.202,,812495000.0,811411202.0
Cộng,Cộng,Cộng,,7.526.721.000,9.301.740.310,,7526721000.0,9301740310.0
