row_label_raw,row_label_full,col_0,Tại ngày31/12/2025VND > Giá trị,Tại ngày01/01/2025VND > Giá trị,numeric__Tại ngày31/12/2025VND > Giá trị,numeric__Tại ngày01/01/2025VND > Giá trị
Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,,
Phải thu khác bên liên quan - Xem thêm Mục 8,Ngắn hạn: > Phải thu khác bên liên quan - Xem thêm Mục 8,Phải thu khác bên liên quan - Xem thêm Mục 8,3.043.029.000,3.575.757.840,3043029000.0,3575757840.0
Phải thu tiền hợp tác đầu tư Dự án khu dân cư Hữu Phước,Ngắn hạn: > Phải thu tiền hợp tác đầu tư Dự án khu dân cư Hữu Phước,Phải thu tiền hợp tác đầu tư Dự án khu dân cư Hữu Phước,70.459.646.685,12.554.835.283,70459646685.0,12554835283.0
Dự thu lãi tiên gửi,Ngắn hạn: > Dự thu lãi tiên gửi,Dự thu lãi tiên gửi,34.104.263.934,30.585.490.429,34104263934.0,30585490429.0
"Khoản tiền bồi thường về việc phê duyệt bồi thường, hỗ trợ thuộc Dự án cụm công nghiệp Long Phước 1","Ngắn hạn: > Khoản tiền bồi thường về việc phê duyệt bồi thường, hỗ trợ thuộc Dự án cụm công nghiệp Long Phước 1","Khoản tiền bồi thường về việc phê duyệt bồi thường, hỗ trợ thuộc Dự án cụm công nghiệp Long Phước 1",11.250.269.997,33.264.795.796,11250269997.0,33264795796.0
Tạm ứng kinh phí bồi thường Dự án Khu công nghiệp Tân Đức,Ngắn hạn: > Tạm ứng kinh phí bồi thường Dự án Khu công nghiệp Tân Đức,Tạm ứng kinh phí bồi thường Dự án Khu công nghiệp Tân Đức,7.593.745.123,18.580.531.288,7593745123.0,18580531288.0
"Ký quỹ, ký cược","Ngắn hạn: > Ký quỹ, ký cược","Ký quỹ, ký cược",315.731.979,433.227.931,315731979.0,433227931.0
Phải thu khác,Ngắn hạn: > Phải thu khác,Phải thu khác,32.737.500.516,85.176.112.048,32737500516.0,85176112048.0
Cộng,Ngắn hạn: > Cộng,Cộng,159.504.187.234,184.170.750.615,159504187234.0,184170750615.0
Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,,
Đầu tư hợp tác kinh doanh với Công ty Cổ phần ICD Tân Cảng - Long Bình (*),Dài hạn: > Đầu tư hợp tác kinh doanh với Công ty Cổ phần ICD Tân Cảng - Long Bình (*),Đầu tư hợp tác kinh doanh với Công ty Cổ phần ICD Tân Cảng - Long Bình (*),88.346.383.480,89.623.016.855,88346383480.0,89623016855.0
"Ký quỹ, ký cược","Dài hạn: > Ký quỹ, ký cược","Ký quỹ, ký cược",55.868.780.652,36.141.590.121,55868780652.0,36141590121.0
Phải thu khác,Dài hạn: > Phải thu khác,Phải thu khác,6.476.078.400,6.476.578.400,6476078400.0,6476578400.0
Cộng,Dài hạn: > Cộng,Cộng,150.691.242.532,132.241.185.376,150691242532.0,132241185376.0
