row_label_raw,row_label_full,col_0,Tại ngày31/12/2025VND,Tại ngày01/01/2025VND,numeric__Tại ngày31/12/2025VND,numeric__Tại ngày01/01/2025VND
Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,,
Tiền thuê đất trả trước,Ngắn hạn: > Tiền thuê đất trả trước,Tiền thuê đất trả trước,-,49.298.989.257,,49298989257.0
Công cụ dụng cụ,Ngắn hạn: > Công cụ dụng cụ,Công cụ dụng cụ,521.358.844,1.006.727.461,521358844.0,1006727461.0
Các khoản khác,Ngắn hạn: > Các khoản khác,Các khoản khác,15.158.383.376,18.645.743.310,15158383376.0,18645743310.0
Cộng,Ngắn hạn: > Cộng,Cộng,15.679.742.220,68.951.460.028,15679742220.0,68951460028.0
Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,,
Trả trước tiền đền bù giải phóng mặt bằngKhu công nghiệp Thạnh Phú,Dài hạn: > Trả trước tiền đền bù giải phóng mặt bằngKhu công nghiệp Thạnh Phú,Trả trước tiền đền bù giải phóng mặt bằngKhu công nghiệp Thạnh Phú,348.618.881.826,351.387.655.995,348618881826.0,351387655995.0
Tiền thuê đất trả trước,Dài hạn: > Tiền thuê đất trả trước,Tiền thuê đất trả trước,359.713.873.850,234.808.466.392,359713873850.0,234808466392.0
"Công cụ, dụng cụ","Dài hạn: > Công cụ, dụng cụ","Công cụ, dụng cụ",8.543.937.239,6.478.508.342,8543937239.0,6478508342.0
Chỉ phí trả trước dài hạn khác,Dài hạn: > Chỉ phí trả trước dài hạn khác,Chỉ phí trả trước dài hạn khác,327.443.014.329,371.356.484.913,327443014329.0,371356484913.0
Cộng,Dài hạn: > Cộng,Cộng,1.044.319.707.244,964.031.115.642,1044319707244.0,964031115642.0
