row_label_raw,row_label_full,Khoản mục,"Nhà cửa,vật kiến trúcVND","Máy móc,thiết bịVND","Phương tiệnvận tải, truyền dẫnVND","Thiết bị, dụng cụquản lýVND",TSCĐ hữu hìnhkhácVND,CộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc,thiết bịVND","numeric__Phương tiệnvận tải, truyền dẫnVND","numeric__Thiết bị, dụng cụquản lýVND",numeric__TSCĐ hữu hìnhkhácVND,numeric__CộngVND
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Tại ngày 01/01/2025,Nguyên giá: > Tại ngày 01/01/2025,Tại ngày 01/01/2025,3.653.901.686.159,1.775.945.108.364,3.814.147.018.649,94.149.480.213,373.392.789.331,9.711.536.082.716,3653901686159.0,1775945108364.0,3814147018649.0,94149480213.0,373392789331.0,9711536082716.0
Đầu tư XDCB hoàn thành,Nguyên giá: > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,103.508.570.318,37.449.739.956,217.848.680.523,1.299.503.820,261.876.360,360.368.370.977,103508570318.0,37449739956.0,217848680523.0,1299503820.0,261876360.0,360368370977.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,2.895.554.764,7.586.813.864,29.216.343.872,4.290.646.982,1.603.941.062,45.593.300.544,2895554764.0,7586813864.0,29216343872.0,4290646982.0,1603941062.0,45593300544.0
"Thanh lý, nhượng bán","Nguyên giá: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(7.290.038.334),(7.280.092.229),(18.474.278.375),(230.170.500),-,(33.274.579.438),-7290038334.0,-7280092229.0,-18474278375.0,-230170500.0,,-33274579438.0
Giảm do ngừng hợp nhất,Nguyên giá: > Giảm do ngừng hợp nhất,Giảm do ngừng hợp nhất,(23.474.454.360),(26.854.444.701),(9.479.845.725),(3.463.334.141),(7.912.393.506),(71.184.472.433),-23474454360.0,-26854444701.0,-9479845725.0,-3463334141.0,-7912393506.0,-71184472433.0
Giảm khác,Nguyên giá: > Giảm khác,Giảm khác,(21.855.001.262),(5.150.554.420),(2.898.148),-,(109.893.333),(27.118.347.163),-21855001262.0,-5150554420.0,-2898148.0,,-109893333.0,-27118347163.0
Tại ngày 31/12/2025,Nguyên giá: > Tại ngày 31/12/2025,Tại ngày 31/12/2025,3.707.686.317.285,1.781.696.570.834,4.033.255.020.796,96.046.126.374,367.236.319.914,9.985.920.355.203,3707686317285.0,1781696570834.0,4033255020796.0,96046126374.0,367236319914.0,9985920355203.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,,,
Tại ngày 01/01/2025,Giá trị hao mòn lũy kế: > Tại ngày 01/01/2025,Tại ngày 01/01/2025,1.945.314.752.041,1.327.858.647.826,2.120.943.255.864,84.781.605.240,134.540.805.273,5.613.439.066.244,1945314752041.0,1327858647826.0,2120943255864.0,84781605240.0,134540805273.0,5613439066244.0
Khấu hao trong năm,Giá trị hao mòn lũy kế: > Khấu hao trong năm,Khấu hao trong năm,185.946.260.935,106.452.201.592,217.155.775.845,3.746.374.824,27.337.013.038,540.637.626.234,185946260935.0,106452201592.0,217155775845.0,3746374824.0,27337013038.0,540637626234.0
Phân loại lại,Giá trị hao mòn lũy kế: > Phân loại lại,Phân loại lại,(351.135.043),351.135.043,-,-,-,-,-351135043.0,351135043.0,,,,
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(7.290.038.334),(6.382.140.119),(18.474.278.375),(230.170.500),-,(32.376.627.328),-7290038334.0,-6382140119.0,-18474278375.0,-230170500.0,,-32376627328.0
Giảm do ngừng hợp nhất,Giá trị hao mòn lũy kế: > Giảm do ngừng hợp nhất,Giảm do ngừng hợp nhất,(19.566.158.726),(24.520.376.873),(7.217.347.697),(3.413.169.368),(6.875.243.192),(61.592.295.856),-19566158726.0,-24520376873.0,-7217347697.0,-3413169368.0,-6875243192.0,-61592295856.0
Giảm khác,Giá trị hao mòn lũy kế: > Giảm khác,Giảm khác,(9.756.326.982),(521.759.190),-,-,-,(10.278.086.172),-9756326982.0,-521759190.0,,,,-10278086172.0
Tại ngày 31/12/2025,Giá trị hao mòn lũy kế: > Tại ngày 31/12/2025,Tại ngày 31/12/2025,2.094.297.353.891,1.403.237.708.279,2.312.407.405.637,84.884.640.196,155.002.575.119,6.049.829.683.122,2094297353891.0,1403237708279.0,2312407405637.0,84884640196.0,155002575119.0,6049829683122.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Tại ngày 01/01/2025,Giá trị còn lại: > Tại ngày 01/01/2025,Tại ngày 01/01/2025,1.708.586.934.118,448.086.460.538,1.693.203.762.785,9.367.874.973,238.851.984.058,4.098.097.016.472,1708586934118.0,448086460538.0,1693203762785.0,9367874973.0,238851984058.0,4098097016472.0
Tại ngày 31/12/2025,Giá trị còn lại: > Tại ngày 31/12/2025,Tại ngày 31/12/2025,1.613.388.963.394,378.458.862.555,1.720.847.615.159,11.161.486.178,212.233.744.795,3.936.090.672.081,1613388963394.0,378458862555.0,1720847615159.0,11161486178.0,212233744795.0,3936090672081.0
