row_label_raw,row_label_full,Danh sách các bên liên quan,Mối quan hệ,numeric__Mối quan hệ
1. Công ty Cổ phần Sonadezi Giang Điền,1. Công ty Cổ phần Sonadezi Giang Điền,1. Công ty Cổ phần Sonadezi Giang Điền,Công ty liên kết,
2. Công ty Cổ phần Sơn Đồng Nai,2. Công ty Cổ phần Sơn Đồng Nai,2. Công ty Cổ phần Sơn Đồng Nai,Công ty liên kết,
3. Công ty Cổ phần Dịch vụ Căng Đồng Nai,3. Công ty Cổ phần Dịch vụ Căng Đồng Nai,3. Công ty Cổ phần Dịch vụ Căng Đồng Nai,Công ty liên kết,
4. Công ty Cổ phần Căng Long Thành,4. Công ty Cổ phần Căng Long Thành,4. Công ty Cổ phần Căng Long Thành,Công ty liên kết,
5. Công ty Cổ phần Xây dựng Đồng Nai,5. Công ty Cổ phần Xây dựng Đồng Nai,5. Công ty Cổ phần Xây dựng Đồng Nai,Công ty liên kết,
6. Công ty Cổ phần Dịch vụ và Xây dựng Cấp nước Đồng Nai,6. Công ty Cổ phần Dịch vụ và Xây dựng Cấp nước Đồng Nai,6. Công ty Cổ phần Dịch vụ và Xây dựng Cấp nước Đồng Nai,Công ty liên kết,
7. Trường Cao đẳng Công nghệ và Quản trị Sonadezi,7. Trường Cao đẳng Công nghệ và Quản trị Sonadezi,7. Trường Cao đẳng Công nghệ và Quản trị Sonadezi,Công ty liên kết,
8. Công ty Cổ phần Kinh doanh nhà Đồng Nai,8. Công ty Cổ phần Kinh doanh nhà Đồng Nai,8. Công ty Cổ phần Kinh doanh nhà Đồng Nai,Công ty liên kết,
9. Công ty Cổ phần Đầu tư Xây dựng và Vật liệu Đồng Nai,9. Công ty Cổ phần Đầu tư Xây dựng và Vật liệu Đồng Nai,9. Công ty Cổ phần Đầu tư Xây dựng và Vật liệu Đồng Nai,Công ty liên kết(từ ngày 13 tháng 04 năm 2025),
10. Công ty TNHH Tiên Triết,10. Công ty TNHH Tiên Triết,10. Công ty TNHH Tiên Triết,Công ty có người liên quan của người quản lý,
"11. Hội đồng quản trị, Ban Tổng Giám đốc,Ban kiểm soát và Kế toán trường Tổng Công ty","11. Hội đồng quản trị, Ban Tổng Giám đốc,Ban kiểm soát và Kế toán trường Tổng Công ty","11. Hội đồng quản trị, Ban Tổng Giám đốc,Ban kiểm soát và Kế toán trường Tổng Công ty",Nhân sự quản lý chủ chốt,
