row_label_raw,row_label_full,CHỈ TIÊU,Mã số,TM,Năm 2025,Năm 2024,numeric__Mã số,numeric__TM,numeric__Năm 2025,numeric__Năm 2024
1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1,5.1,6.796.157.810.457,5.873.085.755.439,1.0,51.0,6796157810457.0,5873085755439.0
2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2,,28.000.000,2.008.366.752,2.0,,28000000.0,2008366752.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,10,,6.796.129.810.457,5.871.077.388.687,10.0,,6796129810457.0,5871077388687.0
4. Giá vốn hàng bán,4. Giá vốn hàng bán,4. Giá vốn hàng bán,11,5.2,3.744.677.438.246,3.490.189.535.873,11.0,52.0,3744677438246.0,3490189535873.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,20,,3.051.452.372.211,2.380.887.852.814,20.0,,3051452372211.0,2380887852814.0
6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,21,5.3,162.131.400.799,190.333.030.161,21.0,53.0,162131400799.0,190333030161.0
7. Chi phí tài chính,7. Chi phí tài chính,7. Chi phí tài chính,22,5.4,115.608.358.515,112.414.030.980,22.0,54.0,115608358515.0,112414030980.0
"Trong đó, chi phí lãi vay","Trong đó, chi phí lãi vay","Trong đó, chi phí lãi vay",23,,83.070.045.254,103.012.674.827,23.0,,83070045254.0,103012674827.0
8. Phần lãi hoặc lỗ trong công ty liên kết,8. Phần lãi hoặc lỗ trong công ty liên kết,8. Phần lãi hoặc lỗ trong công ty liên kết,24,,139.831.753.405,86.559.312.403,24.0,,139831753405.0,86559312403.0
9. Chi phí bán hàng,9. Chi phí bán hàng,9. Chi phí bán hàng,25,5.5,120.799.476.173,120.309.147.977,25.0,55.0,120799476173.0,120309147977.0
10. Chi phí quản lý doanh nghiệp,10. Chi phí quản lý doanh nghiệp,10. Chi phí quản lý doanh nghiệp,26,5.6,534.642.957.399,470.964.717.592,26.0,56.0,534642957399.0,470964717592.0
11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Lợi nhuận thuần từ hoạt động kinh doanh,30,,2.582.364.734.328,1.954.092.298.829,30.0,,2582364734328.0,1954092298829.0
12. Thu nhập khác,12. Thu nhập khác,12. Thu nhập khác,31,,50.762.810.068,24.225.072.314,31.0,,50762810068.0,24225072314.0
13. Chi phí khác,13. Chi phí khác,13. Chi phí khác,32,,59.570.131.971,31.434.423.277,32.0,,59570131971.0,31434423277.0
14. Lợi nhuận khác,14. Lợi nhuận khác,14. Lợi nhuận khác,40,,(8.807.321.903),(7.209.350.963),40.0,,-8807321903.0,-7209350963.0
15. Tổng lợi nhuận kế toán trước thuế,15. Tổng lợi nhuận kế toán trước thuế,15. Tổng lợi nhuận kế toán trước thuế,50,,2.573.557.412.425,1.946.882.947.866,50.0,,2573557412425.0,1946882947866.0
16. Chi phí thuế TNDN hiện hành,16. Chi phí thuế TNDN hiện hành,16. Chi phí thuế TNDN hiện hành,51,5.8,428.034.701.274,336.456.267.062,51.0,58.0,428034701274.0,336456267062.0
17. Chi phí thuế TNDN hoãn lại,17. Chi phí thuế TNDN hoãn lại,17. Chi phí thuế TNDN hoãn lại,52,5.9,14.964.764.797,(5.445.335.680),52.0,59.0,14964764797.0,-5445335680.0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,18. Lợi nhuận sau thuế thu nhập doanh nghiệp,18. Lợi nhuận sau thuế thu nhập doanh nghiệp,60,,2.130.557.946.354,1.615.872.016.484,60.0,,2130557946354.0,1615872016484.0
19. Lợi nhuận sau thuế của công ty mẹ,19. Lợi nhuận sau thuế của công ty mẹ,19. Lợi nhuận sau thuế của công ty mẹ,61,,1.282.774.273.380,965.988.912.382,61.0,,1282774273380.0,965988912382.0
20. Lợi nhuận sau thuế của cổ đông không kiểm soát,20. Lợi nhuận sau thuế của cổ đông không kiểm soát,20. Lợi nhuận sau thuế của cổ đông không kiểm soát,62,,847.783.672.974,649.883.104.102,62.0,,847783672974.0,649883104102.0
21. Lãi cơ bản trên cổ phiếu,21. Lãi cơ bản trên cổ phiếu,21. Lãi cơ bản trên cổ phiếu,70,4.22.3,3.183,2.389,70.0,4223.0,3183.0,2389.0
22. Lãi suy giảm trên cổ phiếu,22. Lãi suy giảm trên cổ phiếu,22. Lãi suy giảm trên cổ phiếu,71,4.22.3,3.183,2.389,71.0,4223.0,3183.0,2389.0
