row_label_raw,row_label_full,col_0,Các khoản mục thuộc vốn chủ sở hữu,Các khoản mục thuộc vốn chủ sở hữu_1,Các khoản mục thuộc vốn chủ sở hữu_2,Các khoản mục thuộc vốn chủ sở hữu_3,Các khoản mục thuộc vốn chủ sở hữu_4,Các khoản mục thuộc vốn chủ sở hữu_5,Các khoản mục thuộc vốn chủ sở hữu_6,Các khoản mục thuộc vốn chủ sở hữu_7,Các khoản mục thuộc vốn chủ sở hữu_8,Các khoản mục thuộc vốn chủ sở hữu_9,numeric__Các khoản mục thuộc vốn chủ sở hữu,numeric__Các khoản mục thuộc vốn chủ sở hữu_1,numeric__Các khoản mục thuộc vốn chủ sở hữu_2,numeric__Các khoản mục thuộc vốn chủ sở hữu_3,numeric__Các khoản mục thuộc vốn chủ sở hữu_4,numeric__Các khoản mục thuộc vốn chủ sở hữu_5,numeric__Các khoản mục thuộc vốn chủ sở hữu_6,numeric__Các khoản mục thuộc vốn chủ sở hữu_7,numeric__Các khoản mục thuộc vốn chủ sở hữu_8,numeric__Các khoản mục thuộc vốn chủ sở hữu_9
,,,Vôn góp của chủ sở hữu,Thặng dư vốn cổ phần,Vôn khác của chủ sở hữu,Cổ phiếu quỹ,Chênh lệch đánh giá lại tài sản,Quỹ đầu tư phát triển,Quỹ khác thuộc vốn chủ sở hữu,Lợi nhuận sau thuế chưa phân phối,Lợi ích cổ đông không kiểm soát,Cộng,,,,,,,,,,
Tại ngày 01/01/2024,Tại ngày 01/01/2024,Tại ngày 01/01/2024,3.765.000,86.559,513.943,(90),(592.863),757.547,9.662,1.689.405,3.806.067,10.035.230,3765000.0,86559.0,513943.0,-90.0,-592863.0,757547.0,9662.0,1689405.0,3806067.0,10035230.0
Tăng vốn từ phát hành cổ phiếu,Tăng vốn từ phát hành cổ phiếu,Tăng vốn từ phát hành cổ phiếu,-,-,-,-,-,-,-,-,578.588,578.588,,,,,,,,,578588.0,578588.0
Lợi nhuận trong năm trước,Lợi nhuận trong năm trước,Lợi nhuận trong năm trước,-,-,-,-,-,-,-,965.989,649.883,1.615.872,,,,,,,,965989.0,649883.0,1615872.0
Trích lập quỹ thuộc nguồn vốn,Trích lập quỹ thuộc nguồn vốn,Trích lập quỹ thuộc nguồn vốn,-,-,-,-,-,193.726,-,(193.726),-,-,,,,,,193726.0,,-193726.0,,
"Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,-,-,-,-,-,(66.666),(53.915),(120.581),,,,,,,,-66666.0,-53915.0,-120581.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,-,-,-,-,(451.790),(340.741),(792.531),,,,,,,,-451790.0,-340741.0,-792531.0
Tăng/(giảm) khác từ công ty liên kết,Tăng/(giảm) khác từ công ty liên kết,Tăng/(giảm) khác từ công ty liên kết,-,-,-,-,-,-,-,26.409,-,26.409,,,,,,,,26409.0,,26409.0
Tăng/(giảm) do ngừng hợp nhất,Tăng/(giảm) do ngừng hợp nhất,Tăng/(giảm) do ngừng hợp nhất,-,-,-,-,-,(31.898),-,-,(440.948),(472.846),,,,,,-31898.0,,,-440948.0,-472846.0
Nộp về Quỹ hỗ trợ sắp xếp doanh nghiệp,Nộp về Quỹ hỗ trợ sắp xếp doanh nghiệp,Nộp về Quỹ hỗ trợ sắp xếp doanh nghiệp,-,-,-,-,-,-,-,(7.888),-,(7.888),,,,,,,,-7888.0,,-7888.0
