row_label_raw,row_label_full,col_0,Mã số,Năm 2024 VND > (Được báo cáo lại),Năm 2024 VND > (Đã được báo cáo trước đây),numeric__Mã số,numeric__Năm 2024 VND > (Được báo cáo lại),numeric__Năm 2024 VND > (Đã được báo cáo trước đây)
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,51,336.456.267.062,332.932.163.101,51.0,336456267062.0,332932163101.0
Lợi nhuận sau thuế của công ty mẹ,Lợi nhuận sau thuế của công ty mẹ,Lợi nhuận sau thuế của công ty mẹ,61,965.988.912.382,967.841.842.314,61.0,965988912382.0,967841842314.0
Lợi nhuận sau thuế của cổ đông không kiểm soát,Lợi nhuận sau thuế của cổ đông không kiểm soát,Lợi nhuận sau thuế của cổ đông không kiểm soát,62,649.883.104.102,651.554.278.131,62.0,649883104102.0,651554278131.0
Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,70,2.389,2.394,70.0,2389.0,2394.0
Lãi suy giảm trên cổ phiếu,Lãi suy giảm trên cổ phiếu,Lãi suy giảm trên cổ phiếu,71,2.389,2.394,71.0,2389.0,2394.0
