row_label_raw,row_label_full,col_0,Kinh doanhkhu công nghiệp > Năm 2025,Kinh doanhkhu công nghiệp > Năm 2024,Kinh doanhnhà và ha tầng > Năm 2025,Kinh doanhnhà và ha tầng > Năm 2024,Kinh doanhcung cấp nước sach > Năm 2025,Kinh doanhcung cấp nước sach > Năm 2024,Kinh doanhdịch vụ cảng > Năm 2025,Kinh doanhdịch vụ cảng > Năm 2024,Kinh doanh dịch vuthu gom rác vàxử lý chất thải > Năm 2025,Kinh doanh dịch vuthu gom rác vàxử lý chất thải > Năm 2024,Khác > Năm 2025,Khác > Năm 2024,Đơn vị tính: Triệu đồngTổng công > Năm 2025,Đơn vị tính: Triệu đồngTổng công > Năm 2024,numeric__Kinh doanhkhu công nghiệp > Năm 2025,numeric__Kinh doanhkhu công nghiệp > Năm 2024,numeric__Kinh doanhnhà và ha tầng > Năm 2025,numeric__Kinh doanhnhà và ha tầng > Năm 2024,numeric__Kinh doanhcung cấp nước sach > Năm 2025,numeric__Kinh doanhcung cấp nước sach > Năm 2024,numeric__Kinh doanhdịch vụ cảng > Năm 2025,numeric__Kinh doanhdịch vụ cảng > Năm 2024,numeric__Kinh doanh dịch vuthu gom rác vàxử lý chất thải > Năm 2025,numeric__Kinh doanh dịch vuthu gom rác vàxử lý chất thải > Năm 2024,numeric__Khác > Năm 2025,numeric__Khác > Năm 2024,numeric__Đơn vị tính: Triệu đồngTổng công > Năm 2025,numeric__Đơn vị tính: Triệu đồngTổng công > Năm 2024
Kết quả hoạt động kinh doanh hợp nhất,Kết quả hoạt động kinh doanh hợp nhất,Kết quả hoạt động kinh doanh hợp nhất,Kết quả hoạt động kinh doanh hợp nhất,Kết quả hoạt động kinh doanh hợp nhất,Kết quả hoạt động kinh doanh hợp nhất,Kết quả hoạt động kinh doanh hợp nhất,Kết quả hoạt động kinh doanh hợp nhất,Kết quả hoạt động kinh doanh hợp nhất,Kết quả hoạt động kinh doanh hợp nhất,Kết quả hoạt động kinh doanh hợp nhất,Kết quả hoạt động kinh doanh hợp nhất,Kết quả hoạt động kinh doanh hợp nhất,Kết quả hoạt động kinh doanh hợp nhất,Kết quả hoạt động kinh doanh hợp nhất,Kết quả hoạt động kinh doanh hợp nhất,Kết quả hoạt động kinh doanh hợp nhất,,,,,,,,,,,,,,
Kết quả của bộ phận,Kết quả hoạt động kinh doanh hợp nhất > Kết quả của bộ phận,Kết quả của bộ phận,1.808.822,1.173.699,8.042,106.043,483.348,490.621,592.110,498.586,120.504,127.104,38.626,(15.165),3.051.452,2.380.888,1808822.0,1173699.0,8042.0,106043.0,483348.0,490621.0,592110.0,498586.0,120504.0,127104.0,38626.0,-15165.0,3051452.0,2380888.0
Chi phí không phân bổ,Kết quả hoạt động kinh doanh hợp nhất > Chi phí không phân bổ,Chi phí không phân bổ,,,,,,,,,,,,,(655.443),(591.274),,,,,,,,,,,,,-655443.0,-591274.0
Phần lãi hoặc lỗ trongcông ty liên kết,Kết quả hoạt động kinh doanh hợp nhất > Phần lãi hoặc lỗ trongcông ty liên kết,Phần lãi hoặc lỗ trongcông ty liên kết,,,,,,,,,,,,,139.832,86.559,,,,,,,,,,,,,139832.0,86559.0
Lợi nhuận kháckhông phân bổ,Kết quả hoạt động kinh doanh hợp nhất > Lợi nhuận kháckhông phân bổ,Lợi nhuận kháckhông phân bổ,,,,,,,,,,,,,(8.807),(7.209),,,,,,,,,,,,,-8807.0,-7209.0
Doanh thu tài chính,Kết quả hoạt động kinh doanh hợp nhất > Doanh thu tài chính,Doanh thu tài chính,,,,,,,,,,,,,162.131,190.333,,,,,,,,,,,,,162131.0,190333.0
Chi phí tài chính,Kết quả hoạt động kinh doanh hợp nhất > Chi phí tài chính,Chi phí tài chính,,,,,,,,,,,,,(115.608),(112.414),,,,,,,,,,,,,-115608.0,-112414.0
Lợi nhuận trước thuế,Kết quả hoạt động kinh doanh hợp nhất > Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,,,,,,,,,,,2.573.557,1.946.883,,,,,,,,,,,,,2573557.0,1946883.0
Chi phí thuế TNDN hiện hành,Kết quả hoạt động kinh doanh hợp nhất > Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,,,,,,,,,,,,,(428.035),(336.456),,,,,,,,,,,,,-428035.0,-336456.0
Chi phí thuế TNDN hoãn lại,Kết quả hoạt động kinh doanh hợp nhất > Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,,,,,,,,,,,,,(14.964),5.445,,,,,,,,,,,,,-14964.0,5445.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Kết quả hoạt động kinh doanh hợp nhất > Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,2.130.558,1.615.872,,,,,,,,,,,,,2130558.0,1615872.0
Các thông tin khác,Các thông tin khác,Các thông tin khác,Các thông tin khác,Các thông tin khác,Các thông tin khác,Các thông tin khác,Các thông tin khác,Các thông tin khác,Các thông tin khác,Các thông tin khác,Các thông tin khác,Các thông tin khác,Các thông tin khác,Các thông tin khác,Các thông tin khác,Các thông tin khác,,,,,,,,,,,,,,
,,,Kinh doanhkhu công nghiệp,Kinh doanhkhu công nghiệp,Kinh doanhnhà và ha tầng,Kinh doanhnhà và ha tầng,Kinh doanhcung cấp nước sach,Kinh doanhcung cấp nước sach,Kinh doanhdịch vụ cảng,Kinh doanhdịch vụ cảng,Kinh doanh dịch vuthu gom rác vàxử lý chất thải,Kinh doanh dịch vuthu gom rác vàxử lý chất thải,Khác,Khác,Đơn vị tính: Triệu đồngTổng công,Đơn vị tính: Triệu đồngTổng công,,,,,,,,,,,,,,
,,,Tại ngày31/12/2025,Tại ngày01/01/2025,Tại ngày31/12/2025,Tại ngày01/01/2025,Tại ngày31/12/2025,Tại ngày01/01/2025,Tại ngày31/12/2025,Tại ngày01/01/2025,Tại ngày31/12/2025,Tại ngày01/01/2025,Tại ngày31/12/2025,Tại ngày01/01/2025,Tại ngày31/12/2025,Tại ngày01/01/2025,,,,,,,,,,,,,,
Tải sản không phân bổ,Các thông tin khác > Tải sản không phân bổ,Tải sản không phân bổ,,,,,,,,,,,,,22.299.656,21.104.200,,,,,,,,,,,,,22299656.0,21104200.0
Nợ phải trả không phân bổ,Các thông tin khác > Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,,,,,,,,,,10.381.110,10.236.101,,,,,,,,,,,,,10381110.0,10236101.0
,,,Kinh doanhkhu công nghiệp,Kinh doanhkhu công nghiệp,Kinh doanhnhà và ha tầng,Kinh doanhnhà và ha tầng,Kinh doanhcung cấp nước sach,Kinh doanhcung cấp nước sach,Kinh doanhdịch vụ cảng,Kinh doanhdịch vụ cảng,Kinh doanh dịch vuthu gom rác vàxử lý chất thải,Kinh doanh dịch vuthu gom rác vàxử lý chất thải,Khác,Khác,Đơn vị tính: Triệu đồngTổng công,Đơn vị tính: Triệu đồngTổng công,,,,,,,,,,,,,,
,,,Năm 2025,Năm 2024,Năm 2025,Năm 2024,Năm 2025,Năm 2024,Năm 2025,Năm 2024,Năm 2025,Năm 2024,Năm 2025,Năm 2024,Năm 2025,Năm 2024,,,,,,,,,,,,,,
Chi phí mua sắm tài sản,Các thông tin khác > Chi phí mua sắm tài sản,Chi phí mua sắm tài sản,,,,,,,,,,,,,(2.028.976),(1.423.784),,,,,,,,,,,,,-2028976.0,-1423784.0
Chi phí khấu hao,Các thông tin khác > Chi phí khấu hao,Chi phí khấu hao,,,,,,,,,,,,,821.877,786.327,,,,,,,,,,,,,821877.0,786327.0
