row_label_raw,row_label_full,col_0,Tại ngày31/12/2025VND,Tại ngày01/01/2025VND,numeric__Tại ngày31/12/2025VND,numeric__Tại ngày01/01/2025VND
Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,,
"Cổ tức, lợi nhuận phải trả","Ngắn hạn: > Cổ tức, lợi nhuận phải trả","Cổ tức, lợi nhuận phải trả",6.751.169.336,6.678.287.684,6751169336.0,6678287684.0
Phải trả tiền hợp tác đầu tư Dự ánkhu dân cư Hữu Phước,Ngắn hạn: > Phải trả tiền hợp tác đầu tư Dự ánkhu dân cư Hữu Phước,Phải trả tiền hợp tác đầu tư Dự ánkhu dân cư Hữu Phước,220.097.945.561,242.657.698.930,220097945561.0,242657698930.0
"Nhận ký quỹ, ký cược","Ngắn hạn: > Nhận ký quỹ, ký cược","Nhận ký quỹ, ký cược",190.217.019.383,88.922.025.655,190217019383.0,88922025655.0
"Trung tâm Phát triển Quỹ đất tỉnh Đồng Nai -Chi phí giải phòng mặt bằng huyện Vĩnh CửuCác khoản phải trả, phải nộp khác","Ngắn hạn: > Trung tâm Phát triển Quỹ đất tỉnh Đồng Nai -Chi phí giải phòng mặt bằng huyện Vĩnh CửuCác khoản phải trả, phải nộp khác","Trung tâm Phát triển Quỹ đất tỉnh Đồng Nai -Chi phí giải phòng mặt bằng huyện Vĩnh CửuCác khoản phải trả, phải nộp khác",47.382.461.015,47.382.461.015,47382461015.0,47382461015.0
"Trung tâm Phát triển Quỹ đất tỉnh Đồng Nai -Chi phí giải phòng mặt bằng huyện Vĩnh CửuCác khoản phải trả, phải nộp khác","Ngắn hạn: > Trung tâm Phát triển Quỹ đất tỉnh Đồng Nai -Chi phí giải phòng mặt bằng huyện Vĩnh CửuCác khoản phải trả, phải nộp khác","Trung tâm Phát triển Quỹ đất tỉnh Đồng Nai -Chi phí giải phòng mặt bằng huyện Vĩnh CửuCác khoản phải trả, phải nộp khác",134.928.140.307,55.852.100.446,134928140307.0,55852100446.0
Cộng,Ngắn hạn: > Cộng,Cộng,599.376.735.602,441.492.573.730,599376735602.0,441492573730.0
Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,,
"Nhận ký quỹ, ký cược","Dài hạn: > Nhận ký quỹ, ký cược","Nhận ký quỹ, ký cược",177.764.102.242,141.044.690.447,177764102242.0,141044690447.0
"Cổ tức, lợi nhuận phải trả","Dài hạn: > Cổ tức, lợi nhuận phải trả","Cổ tức, lợi nhuận phải trả",68.989.413.727,71.552.096.981,68989413727.0,71552096981.0
"Các khoản phải trả, phải nộp khác","Dài hạn: > Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác",27.478.926.520,37.878.681.101,27478926520.0,37878681101.0
Cộng,Dài hạn: > Cộng,Cộng,274.232.442.489,250.475.468.529,274232442489.0,250475468529.0
