row_label_raw,row_label_full,Khoản mục,"Chi phí đền bù,giải tỏaVND",Cơ sở hạ tầngVND,"Nhà cửa,vật kiến trúcVND","Phương tiệnvận tải,truyền đãnVND",BĐS đầu tưkhácVND,CộngVND,"numeric__Chi phí đền bù,giải tỏaVND",numeric__Cơ sở hạ tầngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Phương tiệnvận tải,truyền đãnVND",numeric__BĐS đầu tưkhácVND,numeric__CộngVND
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Tại ngày 01/01/2025,Nguyên giá: > Tại ngày 01/01/2025,Tại ngày 01/01/2025,278.707.941.817,2.685.915.838.081,1.669.262.375.000,159.370.062.176,5.373.119.855,4.798.629.336.929,278707941817.0,2685915838081.0,1669262375000.0,159370062176.0,5373119855.0,4798629336929.0
Đầu tư XDCB hoàn thành,Nguyên giá: > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,200.135.146.150,72.168.985.084,252.497.583.462,29.455.921.532,-,554.257.636.228,200135146150.0,72168985084.0,252497583462.0,29455921532.0,,554257636228.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,-,-,165.984.956.317,-,-,165.984.956.317,,,165984956317.0,,,165984956317.0
"Thanh lý, nhượng bán","Nguyên giá: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(17.926.398.212),-,-,-,(17.926.398.212),,-17926398212.0,,,,-17926398212.0
Giảm khác,Nguyên giá: > Giảm khác,Giảm khác,-,-,(111.725.000),(13.706.481),-,(125.431.481),,,-111725000.0,-13706481.0,,-125431481.0
Tại ngày 31/12/2025,Nguyên giá: > Tại ngày 31/12/2025,Tại ngày 31/12/2025,478.843.087.967,2.740.158.424.953,2.087.633.189.779,188.812.277.227,5.373.119.855,5.500.820.099.781,478843087967.0,2740158424953.0,2087633189779.0,188812277227.0,5373119855.0,5500820099781.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,,,
Tại ngày 01/01/2025,Giá trị hao mòn lũy kế: > Tại ngày 01/01/2025,Tại ngày 01/01/2025,239.307.374.320,701.771.723.532,749.364.242.044,69.012.740.163,4.603.100.802,1.764.059.180.861,239307374320.0,701771723532.0,749364242044.0,69012740163.0,4603100802.0,1764059180861.0
Khấu hao trong năm,Giá trị hao mòn lũy kế: > Khấu hao trong năm,Khấu hao trong năm,166.863.383.163,64.361.387.084,92.610.682.177,10.192.605.169,265.471.007,334.293.528.600,166863383163.0,64361387084.0,92610682177.0,10192605169.0,265471007.0,334293528600.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(17.240.859.518),-,-,-,(17.240.859.518),,-17240859518.0,,,,-17240859518.0
Tại ngày 31/12/2025,Giá trị hao mòn lũy kế: > Tại ngày 31/12/2025,Tại ngày 31/12/2025,406.170.757.483,748.892.251.098,841.974.924.221,79.205.345.332,4.868.571.809,2.081.111.849.943,406170757483.0,748892251098.0,841974924221.0,79205345332.0,4868571809.0,2081111849943.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Tại ngày 01/01/2025,Giá trị còn lại: > Tại ngày 01/01/2025,Tại ngày 01/01/2025,39.400.567.497,1.984.144.114.549,919.898.132.956,90.357.322.013,770.019.053,3.034.570.156.068,39400567497.0,1984144114549.0,919898132956.0,90357322013.0,770019053.0,3034570156068.0
Tại ngày 31/12/2025,Giá trị còn lại: > Tại ngày 31/12/2025,Tại ngày 31/12/2025,72.672.330.484,1.991.266.173.855,1.245.658.265.558,109.606.931.895,504.548.046,3.419.708.249.838,72672330484.0,1991266173855.0,1245658265558.0,109606931895.0,504548046.0,3419708249838.0
