row_label_raw,row_label_full,col_0,Mã số,Tại ngày 01/01/2025 VND > (Được báo cáo lại),Tại ngày 31/12/2024 VND > (Đã được báo cáo trước đây),numeric__Mã số,numeric__Tại ngày 01/01/2025 VND > (Được báo cáo lại),numeric__Tại ngày 31/12/2024 VND > (Đã được báo cáo trước đây)
Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,313,158.795.315.513,117.058.119.782,313.0,158795315513.0,117058119782.0
LNST chưa phân phối lũy kế đến CK trước,LNST chưa phân phối lũy kế đến CK trước,LNST chưa phân phối lũy kế đến CK trước,421a,1.005.417.573.218,1.025.509.540.515,,1005417573218.0,1025509540515.0
LNST chưa phân phối kỳ này,LNST chưa phân phối kỳ này,LNST chưa phân phối kỳ này,421b,962.438.502.382,964.291.432.314,,962438502382.0,964291432314.0
Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,429,4.198.656.223.487,4.218.448.521.989,429.0,4198656223487.0,4218448521989.0
