row_label_raw,row_label_full,Tên công ty con,31/12/2024,31/12/2024_1,31/12/2024_2,31/12/2023,31/12/2023_1,numeric__31/12/2024,numeric__31/12/2024_1,numeric__31/12/2024_2,numeric__31/12/2023,numeric__31/12/2023_1
Tên công ty con,Tên công ty con,Tên công ty con,Lĩnh vực hoạt động,Giá gốc Triệu VND,% Tỷ lệ sở hữu,Giá gốc Triệu VND,% Tỷ lệ sở hữu,,,,,
Công ty TNHH Một thành viên Quản lý nợ và Khai thác Tài sản Ngân hàng Thương mại Cổ phần An Bình (“ABBA”),Tên công ty con > Công ty TNHH Một thành viên Quản lý nợ và Khai thác Tài sản Ngân hàng Thương mại Cổ phần An Bình (“ABBA”),Công ty TNHH Một thành viên Quản lý nợ và Khai thác Tài sản Ngân hàng Thương mại Cổ phần An Bình (“ABBA”),Quản lý tài sản,260.000,100%,260.000,100%,,260000.0,1.0,260000.0,1.0
