row_label_raw,row_label_full,Ngày 31 tháng 12 năm 2024,Trong nước Triệu VND,Ngoài nước Triệu VND,Tổng cộng Triệu VND,numeric__Trong nước Triệu VND,numeric__Ngoài nước Triệu VND,numeric__Tổng cộng Triệu VND
Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,2.669.746,-,2.669.746,2669746.0,,2669746.0
Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,43.938.602,388.325,44.326.927,43938602.0,388325.0,44326927.0
Chứng khoán kinh doanh và đầu tư – gộp,Chứng khoán kinh doanh và đầu tư – gộp,Chứng khoán kinh doanh và đầu tư – gộp,21.940.665,-,21.940.665,21940665.0,,21940665.0
Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,98.737.871,305,98.738.176,98737871.0,305.0,98738176.0
Hoạt động mua nợ – gộp,Hoạt động mua nợ – gộp,Hoạt động mua nợ – gộp,6.239.861,-,6.239.861,6239861.0,,6239861.0
"Tiền gửi và vay Chính phủ, NHNNVN","Tiền gửi và vay Chính phủ, NHNNVN","Tiền gửi và vay Chính phủ, NHNNVN",3.732.769,-,3.732.769,3732769.0,,3732769.0
Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,45.897.827,33.012,45.930.839,45897827.0,33012.0,45930839.0
Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,90.409.094,320.493,90.729.587,90409094.0,320493.0,90729587.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,381.690,-,381.690,381690.0,,381690.0
Nợ tiềm tàng và các cam kết tín dụng,Nợ tiềm tàng và các cam kết tín dụng,Nợ tiềm tàng và các cam kết tín dụng,9.659.983,-,9.659.983,9659983.0,,9659983.0
