row_label_raw,row_label_full,col_0,Trên 3 tháng Triệu VND,Đến 3 tháng Triệu VND,Đến 1 tháng Triệu VND,Từ trên 1 đến 3 tháng Triệu VND,Từ trên 3 đến 12 tháng Triệu VND,Từ trên 1 đến 5 năm Triệu VND,Trên 5 năm Triệu VND,Tổng Triệu VND,numeric__Trên 3 tháng Triệu VND,numeric__Đến 3 tháng Triệu VND,numeric__Đến 1 tháng Triệu VND,numeric__Từ trên 1 đến 3 tháng Triệu VND,numeric__Từ trên 3 đến 12 tháng Triệu VND,numeric__Từ trên 1 đến 5 năm Triệu VND,numeric__Trên 5 năm Triệu VND,numeric__Tổng Triệu VND
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,
Tiền mặt,Tài sản > Tiền mặt,Tiền mặt,-,-,315.917,-,-,-,-,315.917,,,315917.0,,,,,315917.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,-,2.669.746,-,-,-,-,2.669.746,,,2669746.0,,,,,2669746.0
Tiền gửi và cho vay các TCTD khác - gộp,Tài sản > Tiền gửi và cho vay các TCTD khác - gộp,Tiền gửi và cho vay các TCTD khác - gộp,-,-,40.002.127,4.324.800,-,-,-,44.326.927,,,40002127.0,4324800.0,,,,44326927.0
Các công cụ tài chính phải sinh và các khoản tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các khoản tài sản tài chính khác,Các công cụ tài chính phải sinh và các khoản tài sản tài chính khác,-,-,57.662,-,-,-,-,57.662,,,57662.0,,,,,57662.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,3.691.212,1.439.319,4.749.033,13.683.193,38.342.805,20.133.321,16.699.293,98.738.176,3691212.0,1439319.0,4749033.0,13683193.0,38342805.0,20133321.0,16699293.0,98738176.0
Hoạt động mua nợ - gộp,Tài sản > Hoạt động mua nợ - gộp,Hoạt động mua nợ - gộp,-,-,1.088.810,2.937.927,303.124,-,1.910.000,6.239.861,,,1088810.0,2937927.0,303124.0,,1910000.0,6239861.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,150.000,-,-,-,1.439.991,10.883.284,9.467.390,21.940.665,150000.0,,,,1439991.0,10883284.0,9467390.0,21940665.0
"Góp vốn, đầu tư dài hạn","Tài sản > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",-,-,-,-,-,-,318.791,318.791,,,,,,,318791.0,318791.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,-,-,211,4.007,135.919,926.877,1.067.014,,,,211.0,4007.0,135919.0,926877.0,1067014.0
Tài sản Có khác - gộp,Tài sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,248.046,-,1.439.852,441.351,1.113.047,735.886,-,3.978.182,248046.0,,1439852.0,441351.0,1113047.0,735886.0,,3978182.0
Tổng tài sản (1),Tài sản > Tổng tài sản (1),Tổng tài sản (1),4.089.258,1.439.319,50.323.147,21.387.482,41.202.974,31.888.410,29.322.351,179.652.941,4089258.0,1439319.0,50323147.0,21387482.0,41202974.0,31888410.0,29322351.0,179652941.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
"Tiền gửi và vay Chính phủ, NHNNVN","Nợ phải trả > Tiền gửi và vay Chính phủ, NHNNVN","Tiền gửi và vay Chính phủ, NHNNVN",-,-,3.732.769,-,-,-,-,3.732.769,,,3732769.0,,,,,3732769.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,38.929.071,6.589.075,343.034,69.659,-,45.930.839,,,38929071.0,6589075.0,343034.0,69659.0,,45930839.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,22.104.550,24.785.398,41.433.856,2.391.137,14.646,90.729.587,,,22104550.0,24785398.0,41433856.0,2391137.0,14646.0,90729587.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,-,-,278.139,161.213,-,-,439.352,,,,278139.0,161213.0,,,439352.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,52,222,2.951,6.139,-,9.364,,,52.0,222.0,2951.0,6139.0,,9364.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,120.000,13.710.000,5.400.000,-,19.230.000,,,,120000.0,13710000.0,5400000.0,,19230000.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,2.668.329,-,-,-,-,2.668.329,,,2668329.0,,,,,2668329.0
Tổng nợ phải trả (2),Nợ phải trả > Tổng nợ phải trả (2),Tổng nợ phải trả (2),-,-,67.434.771,31.772.834,55.651.054,7.866.935,14.646,162.740.240,,,67434771.0,31772834.0,55651054.0,7866935.0,14646.0,162740240.0
Mức chênh thanh khoản ròng [(3)=(1)-(2)],Nợ phải trả > Mức chênh thanh khoản ròng [(3)=(1)-(2)],Mức chênh thanh khoản ròng [(3)=(1)-(2)],4.089.258,1.439.319,(17.111.624),(10.385.352),(14.448.080),24.021.475,29.307.705,16.912.701,4089258.0,1439319.0,-17111624.0,-10385352.0,-14448080.0,24021475.0,29307705.0,16912701.0
