row_label_raw,row_label_full,Giao dịch phát sinh trong năm,2024Triệu VND,2023Triệu VND,numeric__2024Triệu VND,numeric__2023Triệu VND
Công ty con - ABBA,Công ty con - ABBA,Công ty con - ABBA,Công ty con - ABBA,Công ty con - ABBA,,
Nhận tiền gửi không kỳ hạn,Công ty con - ABBA > Nhận tiền gửi không kỳ hạn,Nhận tiền gửi không kỳ hạn,781.101,481.036,781101.0,481036.0
Rút tiền gửi không kỳ hạn,Công ty con - ABBA > Rút tiền gửi không kỳ hạn,Rút tiền gửi không kỳ hạn,(781.577),(481.043),-781577.0,-481043.0
Nhận tiền gửi có kỳ hạn,Công ty con - ABBA > Nhận tiền gửi có kỳ hạn,Nhận tiền gửi có kỳ hạn,248,94.993,248.0,94993.0
Rút tiền gửi có kỳ hạn,Công ty con - ABBA > Rút tiền gửi có kỳ hạn,Rút tiền gửi có kỳ hạn,(6.398),(93.443),-6398.0,-93443.0
Trả lãi tiền gửi,Công ty con - ABBA > Trả lãi tiền gửi,Trả lãi tiền gửi,(15),(356),-15.0,-356.0
Thu nhập từ chia cổ tức,Công ty con - ABBA > Thu nhập từ chia cổ tức,Thu nhập từ chia cổ tức,69.339,5.044,69339.0,5044.0
Đặt cọc mua bất động sản,Công ty con - ABBA > Đặt cọc mua bất động sản,Đặt cọc mua bất động sản,-,144.000,,144000.0
Thu nhập khác từ chi phí vốn,Công ty con - ABBA > Thu nhập khác từ chi phí vốn,Thu nhập khác từ chi phí vốn,4.175,1.996,4175.0,1996.0
Chỉ phí dịch vụ kiểm ngân điện lực,Công ty con - ABBA > Chỉ phí dịch vụ kiểm ngân điện lực,Chỉ phí dịch vụ kiểm ngân điện lực,924,1.035,924.0,1035.0
Công ty con - ABBAS,Công ty con - ABBAS,Công ty con - ABBAS,Công ty con - ABBAS,Công ty con - ABBAS,,
Nhận tiền gửi không kỳ hạn,Công ty con - ABBAS > Nhận tiền gửi không kỳ hạn,Nhận tiền gửi không kỳ hạn,82.278,93.691,82278.0,93691.0
Rút tiền gửi không kỳ hạn,Công ty con - ABBAS > Rút tiền gửi không kỳ hạn,Rút tiền gửi không kỳ hạn,(80.088),(94.660),-80088.0,-94660.0
Nhận tiền gửi có kỳ hạn,Công ty con - ABBAS > Nhận tiền gửi có kỳ hạn,Nhận tiền gửi có kỳ hạn,6.148,9.375,6148.0,9375.0
Rút tiền gửi có kỳ hạn,Công ty con - ABBAS > Rút tiền gửi có kỳ hạn,Rút tiền gửi có kỳ hạn,(11.013),(2.510),-11013.0,-2510.0
