row_label_raw,row_label_full,col_0,Chức vụ,2024Triệu VND,2023Triệu VND,numeric__Chức vụ,numeric__2024Triệu VND,numeric__2023Triệu VND
Thành viên Hội đồng quản trị,Thành viên Hội đồng quản trị,Thành viên Hội đồng quản trị,,20.947,20.916,,20947.0,20916.0
Ông Đào Mạnh Kháng,Ông Đào Mạnh Kháng,Ông Đào Mạnh Kháng,Chủ tịch,5.932,6.575,,5932.0,6575.0
Ông Vũ Văn Tiền,Ông Vũ Văn Tiền,Ông Vũ Văn Tiền,Phó Chủ tịch,6.140,6.156,,6140.0,6156.0
Ông John Chong Eng Chuan,Ông John Chong Eng Chuan,Ông John Chong Eng Chuan,Thành viên,1.702,1.135,,1702.0,1135.0
Ông Foong Seong Yew,Ông Foong Seong Yew,Ông Foong Seong Yew,Thành viên,1.702,1.135,,1702.0,1135.0
Ông Nguyễn Danh Lương,Ông Nguyễn Danh Lương,Ông Nguyễn Danh Lương,Thành viên,1.943,1.929,,1943.0,1929.0
Ông Trần Bá Vinh,Ông Trần Bá Vinh,Ông Trần Bá Vinh,Thành viên độc lập,1.852,1.221,,1852.0,1221.0
Bà Đỗ Thị Nhung,Bà Đỗ Thị Nhung,Bà Đỗ Thị Nhung,Thành viên độc lập,1.676,1.116,,1676.0,1116.0
Ông Lưu Văn Sáu,Ông Lưu Văn Sáu,Ông Lưu Văn Sáu,Thành viên độc lập,-,547,,,547.0
Ông Soon Su Long,Ông Soon Su Long,Ông Soon Su Long,Thành viên,-,547,,,547.0
Ông Jason Lim Tsu Yang,Ông Jason Lim Tsu Yang,Ông Jason Lim Tsu Yang,Thành viên,-,555,,,555.0
Ban Kiểm soát,Ban Kiểm soát,Ban Kiểm soát,,5.125,4.240,,5125.0,4240.0
Bà Nguyễn Thị Hạnh Tâm,Bà Nguyễn Thị Hạnh Tâm,Bà Nguyễn Thị Hạnh Tâm,Trường Ban,2.400,2.400,,2400.0,2400.0
Bà Nguyễn Thị Thanh Thái,Bà Nguyễn Thị Thanh Thái,Bà Nguyễn Thị Thanh Thái,Thành viên bán chuyên trách,1.225,1.240,,1225.0,1240.0
Ông Nguyễn Hồng Quang,Ông Nguyễn Hồng Quang,Ông Nguyễn Hồng Quang,Thành viên chuyên trách,1.350,-,,1350.0,
Bà Phạm Thị Hằng,Bà Phạm Thị Hằng,Bà Phạm Thị Hằng,Thành viên chuyên trách,150,600,,150.0,600.0
Tổng Giám đốc,Tổng Giám đốc,Tổng Giám đốc,,6.050,4.050,,6050.0,4050.0
Ông Phạm Duy Hiếu,Ông Phạm Duy Hiếu,Ông Phạm Duy Hiếu,Quyền Tổng Giám đốc,6.050,1.250,,6050.0,1250.0
Bà Lê Thị Bích Phượng,Bà Lê Thị Bích Phượng,Bà Lê Thị Bích Phượng,Quyền Tổng Giám đốc,-,2.800,,,2800.0
