row_label_raw,row_label_full,col_0,col_1,2024Triệu VND,2023Triệu VND,numeric__col_1,numeric__2024Triệu VND,numeric__2023Triệu VND
,,,,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,
01,01,01,Mua sắm tài sản cố định,(243.008),(142.170),,-243008.0,-142170.0
02,02,02,"Tiền thu từ thanh lý, nhượng bán tài sản cố định",10.252,642,,10252.0,642.0
08,08,08,"Tiền thu từ đầu tư, góp vốn vào các đơn vị khác",-,131.697,,,131697.0
09,09,09,"Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",11.296,24.195,,11296.0,24195.0
II,II,II,LU'U CHUYÊN TIÊN THUÀN TỪ HOẠT ĐỘNG ĐẦU TƯ,(221.460),14.364,,-221460.0,14364.0
IV,IV,IV,LU'U CHUYÊN TIÊN THUÀN TRONG NĂM,6.921.938,16.348.913,,6921938.0,16348913.0
V,V,V,TIÊN VÀ CÁC KHOÀN TƯƠNG DƯƠNG TIÊN ĐẦU NĂM,39.941.019,23.592.106,,39941019.0,23592106.0
VI,VI,VI,ĐIỀU CHÍNH ẢNH HƯỜNG CỦA THAY ĐỐI TỶ GIÁ,-,-,,,
VII,VI > VII,VII,TIÊN VÀ CÁC KHOÀN TƯƠNG ĐƯƠNG TIÊN CUỐI NĂM (THUYỀT MINH 36),46.862.957,39.941.019,,46862957.0,39941019.0
