row_label_raw,row_label_full,col_0,Vốn điều lệ Triệu VND,Thặng dư vốn cổ phần Triệu VND,Quỹ dự trữ bổ sung vốn điều lệ Triệu VND,Quỹ dự phòng tài chính Triệu VND,Quỹ khác thuộc Lợi nhuận sau thuế vốn chủ sở hữu Triệu VND,Lợi nhuận sau thuế chưa phân phối Triệu VND,Tổng cộng Triệu VND,numeric__Vốn điều lệ Triệu VND,numeric__Thặng dư vốn cổ phần Triệu VND,numeric__Quỹ dự trữ bổ sung vốn điều lệ Triệu VND,numeric__Quỹ dự phòng tài chính Triệu VND,numeric__Quỹ khác thuộc Lợi nhuận sau thuế vốn chủ sở hữu Triệu VND,numeric__Lợi nhuận sau thuế chưa phân phối Triệu VND,numeric__Tổng cộng Triệu VND
Số dư tại ngày 1 tháng 1 năm 2023,Số dư tại ngày 1 tháng 1 năm 2023,Số dư tại ngày 1 tháng 1 năm 2023,9.409.471,34.279,147.035,859.412,18.108,2.509.952,12.978.257,9409471.0,34279.0,147035.0,859412.0,18108.0,2509952.0,12978257.0
Phát hành cổ phiếu đề trả cổ tức,Phát hành cổ phiếu đề trả cổ tức,Phát hành cổ phiếu đề trả cổ tức,940.897,-,-,-,-,(940.897),-,940897.0,,,,,-940897.0,
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,398.228,398.228,,,,,,398228.0,398228.0
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,-,(27.052),(27.052),,,,,,-27052.0,-27052.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,19.911,39.823,-,(59.734),-,,,19911.0,39823.0,,-59734.0,
Số dư tại ngày 31 tháng 12 năm 2023,Số dư tại ngày 31 tháng 12 năm 2023,Số dư tại ngày 31 tháng 12 năm 2023,10.350.368,34.279,166.946,899.235,18.108,1.880.497,13.349.433,10350368.0,34279.0,166946.0,899235.0,18108.0,1880497.0,13349433.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,627.225,627.225,,,,,,627225.0,627225.0
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,-,(39.822),(39.822),,,,,,-39822.0,-39822.0
Tạm trích lập các quỹ,Tạm trích lập các quỹ,Tạm trích lập các quỹ,-,-,62.723,62.723,-,(125.446),-,,,62723.0,62723.0,,-125446.0,
Số dư tại ngày 31 tháng 12 năm 2024,Số dư tại ngày 31 tháng 12 năm 2024,Số dư tại ngày 31 tháng 12 năm 2024,10.350.368,34.279,229.669,961.958,18.108,2.342.454,13.936.836,10350368.0,34279.0,229669.0,961958.0,18108.0,2342454.0,13936836.0
