row_label_raw,row_label_full,2,Cam kết giao dịch hối đoái,39(a),328.595.475,232.409.836,numeric__Cam kết giao dịch hối đoái,numeric__39(a),numeric__328.595.475,numeric__232.409.836
2,2,2,■ Cam kết mua ngoại tệ,,46.479.141,33.887.522,,,46479141.0,33887522.0
2,2,2,■ Cam kết bán ngoại tệ,,46.528.277,33.973.525,,,46528277.0,33973525.0
2,2,2,■ Cam kết giao dịch hoán đối tiền tệ,,235.588.057,164.548.789,,,235588057.0,164548789.0
3,3,3,Cam kết cho vay không hủy ngang,39(a),3.497,21.737,,,3497.0,21737.0
4,4,4,Cam kết trong nghiệp vụ thư tín dụng,39(a),1.634.376,732.858,,,1634376.0,732858.0
5,5,5,Bảo lãnh khác,39(a),6.590.915,5.243.658,,,6590915.0,5243658.0
6,6,6,Cam kết khác,39(a),1.014.680,-,,,1014680.0,
7,7,7,Lãi cho vay và phí phải thu chưa thu được,39(b),1.262.266,1.018.755,,,1262266.0,1018755.0
8,8,8,Nợ khó đòi đã xử lý,39(c),7.625.711,8.099.504,,,7625711.0,8099504.0
9,9,9,Tài sản và chứng từ khác,39(d),8.012.338,6.828.673,,,8012338.0,6828673.0
