row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024 > Quá hạnTriệu VND,Tại ngày 31 tháng 12 năm 2024 > Không chịu lãiTriệu VND,Tại ngày 31 tháng 12 năm 2024 > Đến1 thángTriệu VND,Tại ngày 31 tháng 12 năm 2024 > Từ trên1 tháng đến3 thángTriệu VND,Tại ngày 31 tháng 12 năm 2024 > Từ trên3 tháng đến 6thángthángTriệu VND,Tại ngày 31 tháng 12 năm 2024 > Từ trên6 tháng đến 12thángTriệu VND,Tại ngày 31 tháng 12 năm 2024 > Từ trên1 năm đến5 nămTriệu VND,Tại ngày 31 tháng 12 năm 2024 > Trên 5 nămTriệu VND,Tại ngày 31 tháng 12 năm 2024 > TổngTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2024 > Quá hạnTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2024 > Không chịu lãiTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2024 > Đến1 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2024 > Từ trên1 tháng đến3 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2024 > Từ trên3 tháng đến 6thángthángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2024 > Từ trên6 tháng đến 12thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2024 > Từ trên1 năm đến5 nămTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2024 > Trên 5 nămTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2024 > TổngTriệu VND
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
Tiền mặt,Tài sản > Tiền mặt,Tiền mặt,-,315.917,-,-,-,-,-,-,315.917,,315917.0,,,,,,,315917.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,-,2.669.746,-,-,-,-,-,2.669.746,,,2669746.0,,,,,,2669746.0
Tiền gửi và cho vay các TCTD khác – gộp,Tài sản > Tiền gửi và cho vay các TCTD khác – gộp,Tiền gửi và cho vay các TCTD khác – gộp,-,-,40.002.127,4.324.800,-,-,-,-,44.326.927,,,40002127.0,4324800.0,,,,,44326927.0
Cho vay khách hàng – gộp,Tài sản > Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,5.130.531,-,11.661.120,81.946.525,-,-,-,-,98.738.176,5130531.0,,11661120.0,81946525.0,,,,,98738176.0
Hoạt động mua nợ – gộp,Tài sản > Hoạt động mua nợ – gộp,Hoạt động mua nợ – gộp,-,-,1.088.811,5.151.050,-,-,-,-,6.239.861,,,1088811.0,5151050.0,,,,,6239861.0
Chứng khoán đầu tư – gộp,Tài sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,150.000,4.025.843,-,-,-,1.439.991,6.859.841,9.464.990,21.940.665,150000.0,4025843.0,,,,1439991.0,6859841.0,9464990.0,21940665.0
"Góp vốn, đầu tư dài hạn","Tài sản > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",-,318.791,-,-,-,-,-,-,318.791,,318791.0,,,,,,,318791.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,1.067.014,-,-,-,-,-,-,1.067.014,,1067014.0,,,,,,,1067014.0
Tài sản Có khác – gộp,Tài sản > Tài sản Có khác – gộp,Tài sản Có khác – gộp,-,3.978.182,-,-,-,-,-,-,3.978.182,,3978182.0,,,,,,,3978182.0
Tổng tài sản (1),Tài sản > Tổng tài sản (1),Tổng tài sản (1),5.280.531,9.705.747,55.421.804,91.422.375,-,1.439.991,6.859.841,9.464.990,179.595.279,5280531.0,9705747.0,55421804.0,91422375.0,,1439991.0,6859841.0,9464990.0,179595279.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
"Tiền gửi và vay Chính phủ, NHNNVN","Nợ phải trả > Tiền gửi và vay Chính phủ, NHNNVN","Tiền gửi và vay Chính phủ, NHNNVN",-,-,3.732.769,-,-,-,-,-,3.732.769,,,3732769.0,,,,,,3732769.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,38.929.071,6.589.075,317.900,25.134,69.659,-,45.930.839,,,38929071.0,6589075.0,317900.0,25134.0,69659.0,,45930839.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,22.104.550,24.785.398,25.539.811,15.894.045,2.391.137,14.646,90.729.587,,,22104550.0,24785398.0,25539811.0,15894045.0,2391137.0,14646.0,90729587.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,381.690,-,-,-,-,-,-,381.690,,381690.0,,,,,,,381690.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,52,222,-,2.951,6.139,-,9.364,,,52.0,222.0,,2951.0,6139.0,,9364.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,120.000,4.610.000,9.100.000,5.400.000,-,19.230.000,,,,120000.0,4610000.0,9100000.0,5400000.0,,19230000.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,2.668.329,-,-,-,-,-,-,2.668.329,,2668329.0,,,,,,,2668329.0
Tổng nợ phải trả (2),Nợ phải trả > Tổng nợ phải trả (2),Tổng nợ phải trả (2),-,3.050.019,64.766.442,31.494.695,30.467.711,25.022.130,7.866.935,14.646,162.682.578,,3050019.0,64766442.0,31494695.0,30467711.0,25022130.0,7866935.0,14646.0,162682578.0
Mức chênh nhạy cảm với lãi suất nội bằng [(3)=(1)-(2)],Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội bằng [(3)=(1)-(2)],Mức chênh nhạy cảm với lãi suất nội bằng [(3)=(1)-(2)],5.280.531,6.655.728,(9.344.638),59.927.680,(30.467.711),(23.582.139),(1.007.094),9.450.344,16.912.701,5280531.0,6655728.0,-9344638.0,59927680.0,-30467711.0,-23582139.0,-1007094.0,9450344.0,16912701.0
Các cam kết ngoại bảng có tác động tới mức độ nhạy cảm với Lãi suất của các Tài sản và công nợ – ròng (4),Nợ phải trả > Các cam kết ngoại bảng có tác động tới mức độ nhạy cảm với Lãi suất của các Tài sản và công nợ – ròng (4),Các cam kết ngoại bảng có tác động tới mức độ nhạy cảm với Lãi suất của các Tài sản và công nợ – ròng (4),-,-,1.014.680,-,-,-,-,-,1.014.680,,,1014680.0,,,,,,1014680.0
"Mức chênh nhạy cảm với lãi suất nội, ngoại bảng [(5)=(3)-(4)]","Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội, ngoại bảng [(5)=(3)-(4)]","Mức chênh nhạy cảm với lãi suất nội, ngoại bảng [(5)=(3)-(4)]",5.280.531,6.655.728,(10.359.318),59.927.680,(30.467.711),(23.582.139),(1.007.094),9.450.344,15.898.021,5280531.0,6655728.0,-10359318.0,59927680.0,-30467711.0,-23582139.0,-1007094.0,9450344.0,15898021.0
