row_label_raw,row_label_full,col_0,col_1,Thuyết minh,31/12/2024 Triệu VND,31/12/2023 Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__31/12/2024 Triệu VND,numeric__31/12/2023 Triệu VND
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU NỘ PHẢI TRẢ,,,,,,,
I,B > I,I,Các khoản nợ Chính phủ và Ngân hàng Nhà nước Việt Nam (“NHNNVN”),17,3.732.769,-,,17.0,3732769.0,
1,B > 1,1,"Tiền gửi và vay Chính phủ, NHNNVN",,3.732.769,-,,,3732769.0,
II,B > II,II,Tiền gửi và vay các tổ chức tín dụng khác,18,45.930.839,29.041.487,,18.0,45930839.0,29041487.0
1,B > 1,1,Tiền gửi của các tổ chức tín dụng khác,,42.765.878,27.446.777,,,42765878.0,27446777.0
2,B > 2,2,Vay các tổ chức tín dụng khác,,3.164.961,1.594.710,,,3164961.0,1594710.0
III,B > III,III,Tiền gửi của khách hàng,19,90.729.587,100.054.059,,19.0,90729587.0,100054059.0
IV,B > IV,IV,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,20,381.690,265.268,,20.0,381690.0,265268.0
V,B > V,V,"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",21,9.364,26.613,,21.0,9364.0,26613.0
VI,B > VI,VI,Phát hành giấy tờ có giá,22,19.230.000,15.600.000,,22.0,19230000.0,15600000.0
VII,B > VII,VII,Các khoản nợ khác,23,2.668.329,3.640.503,,23.0,2668329.0,3640503.0
1,B > 1,1,"Các khoản lãi, phí phải trả",,1.736.023,3.139.130,,,1736023.0,3139130.0
3,B > 3,3,Các khoản phải trả khác,,932.306,501.373,,,932306.0,501373.0
,,,TỔNG NỘ PHẢI TRẢ,,162.682.578,148.627.930,,,162682578.0,148627930.0
,,,VỐN CHỦ SỞ HỮU,,,,,,,
VIII,B > VIII,VIII,Vốn và các quỹ,25,13.936.836,13.349.433,,25.0,13936836.0,13349433.0
1,B > 1,1,Vốn,,10.384.647,10.384.647,,,10384647.0,10384647.0
a,B > a,a,Vốn điều lệ,,10.350.368,10.350.368,,,10350368.0,10350368.0
c,B > c,c,Thặng dư vốn cổ phần,,34.279,34.279,,,34279.0,34279.0
2,B > 2,2,Các quỹ,,1.209.735,1.084.289,,,1209735.0,1084289.0
5,B > 5,5,Lợi nhuận chưa phân phối,,2.342.454,1.880.497,,,2342454.0,1880497.0
,,,TỔNG VỐN CHỦ SỞ HỮU,,13.936.836,13.349.433,,,13936836.0,13349433.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,176.619.414,161.977.363,,,176619414.0,161977363.0
