row_label_raw,row_label_full,col_0,Dự phòng chungTriệuVND,Dự phòng cụ thể (i)TriệuVND,TổngTriệuVND,numeric__Dự phòng chungTriệuVND,numeric__Dự phòng cụ thể (i)TriệuVND,numeric__TổngTriệuVND
Số dư tại ngày 31 tháng 12 năm 2022,Số dư tại ngày 31 tháng 12 năm 2022,Số dư tại ngày 31 tháng 12 năm 2022,604.547,421.986,1.026.533,604547.0,421986.0,1026533.0
Trích lập dự phòng trong năm (Thuyết minh 34),Trích lập dự phòng trong năm (Thuyết minh 34),Trích lập dự phòng trong năm (Thuyết minh 34),123.493,1.215.808,1.339.301,123493.0,1215808.0,1339301.0
Tăng dự phòng do nhận lại nợ đã bán cho VAMC trong năm,Tăng dự phòng do nhận lại nợ đã bán cho VAMC trong năm,Tăng dự phòng do nhận lại nợ đã bán cho VAMC trong năm,-,40.556,40.556,,40556.0,40556.0
Sử dụng dự phòng của các khoản nợ bán cho VAMC trong năm,Sử dụng dự phòng của các khoản nợ bán cho VAMC trong năm,Sử dụng dự phòng của các khoản nợ bán cho VAMC trong năm,-,(418.794),(418.794),,-418794.0,-418794.0
Kết chuyển dự phòng sang dự phòng trái phiếu VAMC,Kết chuyển dự phòng sang dự phòng trái phiếu VAMC,Kết chuyển dự phòng sang dự phòng trái phiếu VAMC,-,(62.179),(62.179),,-62179.0,-62179.0
Sử dụng dự phòng trong năm,Sử dụng dự phòng trong năm,Sử dụng dự phòng trong năm,-,(599.842),(599.842),,-599842.0,-599842.0
Số dư tại ngày 31 tháng 12 năm 2023,Số dư tại ngày 31 tháng 12 năm 2023,Số dư tại ngày 31 tháng 12 năm 2023,728.040,597.535,1.325.575,728040.0,597535.0,1325575.0
(Hoàn nhập)/trích lập dự phòng trong năm(Thuyết minh 34),(Hoàn nhập)/trích lập dự phòng trong năm(Thuyết minh 34),(Hoàn nhập)/trích lập dự phòng trong năm(Thuyết minh 34),(3.306),738.054,734.748,-3306.0,738054.0,734748.0
Tăng dự phòng do nhận lại nợ đã bán cho VAMC trong năm,Tăng dự phòng do nhận lại nợ đã bán cho VAMC trong năm,Tăng dự phòng do nhận lại nợ đã bán cho VAMC trong năm,-,18.170,18.170,,18170.0,18170.0
Sử dụng dự phòng của các khoản nợ bán cho VAMC trong năm,Sử dụng dự phòng của các khoản nợ bán cho VAMC trong năm,Sử dụng dự phòng của các khoản nợ bán cho VAMC trong năm,-,(281.277),(281.277),,-281277.0,-281277.0
Kết chuyển dự phòng sang dự phòng trái phiếu VAMC(Thuyết minh 12(iv)),Kết chuyển dự phòng sang dự phòng trái phiếu VAMC(Thuyết minh 12(iv)),Kết chuyển dự phòng sang dự phòng trái phiếu VAMC(Thuyết minh 12(iv)),-,(20.344),(20.344),,-20344.0,-20344.0
Sử dụng dự phòng trong năm,Sử dụng dự phòng trong năm,Sử dụng dự phòng trong năm,-,(70.982),(70.982),,-70982.0,-70982.0
Số dư tại ngày 31 tháng 12 năm 2024,Số dư tại ngày 31 tháng 12 năm 2024,Số dư tại ngày 31 tháng 12 năm 2024,724.734,981.156,1.705.890,724734.0,981156.0,1705890.0
