row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc Triệu VND",Máy móc thiết bị Triệu VND,Phương tiện vận chuyển Triệu VND,"Thiết bị, dụng cụ quản lý Triệu VND",Tài sản cố định khác Triệu VND,Tổng Triệu VND,"numeric__Nhà cửa, vật kiến trúc Triệu VND",numeric__Máy móc thiết bị Triệu VND,numeric__Phương tiện vận chuyển Triệu VND,"numeric__Thiết bị, dụng cụ quản lý Triệu VND",numeric__Tài sản cố định khác Triệu VND,numeric__Tổng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,514.408,532.803,185.940,29.458,10.615,1.273.224,514408.0,532803.0,185940.0,29458.0,10615.0,1273224.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,104.408,-,2.641,871,107.920,,104408.0,,2641.0,871.0,107920.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(23.830),(701),(21.744),(351),(258),(46.884),-23830.0,-701.0,-21744.0,-351.0,-258.0,-46884.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,490.578,636.510,164.196,31.748,11.228,1.334.260,490578.0,636510.0,164196.0,31748.0,11228.0,1334260.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,129.999,410.159,141.203,23.710,6.658,711.729,129999.0,410159.0,141203.0,23710.0,6658.0,711729.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,10.911,39.532,8.860,3.831,1.375,64.509,10911.0,39532.0,8860.0,3831.0,1375.0,64509.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(4.307),(701),(21.744),(351),(242),(27.345),-4307.0,-701.0,-21744.0,-351.0,-242.0,-27345.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,136.603,448.990,128.319,27.190,7.791,748.893,136603.0,448990.0,128319.0,27190.0,7791.0,748893.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,384.409,122.644,44.737,5.748,3.957,561.495,384409.0,122644.0,44737.0,5748.0,3957.0,561495.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,353.975,187.520,35.877,4.558,3.437,585.367,353975.0,187520.0,35877.0,4558.0,3437.0,585367.0
